Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Sky Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Ground Temperature [C](TimeStep),Environment:Site Outdoor Air Enthalpy [J/kg](TimeStep),Environment:Site Outdoor Air Density [kg/m3](TimeStep),Environment:Site Rain Status [](TimeStep),BLOCK1:ZONE4:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE3:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE7:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE6:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE5:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE2:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK6:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),PEOPLE BLOCK1:ZONE4:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE3:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE7:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE6:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE5:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK6:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON) 
 01/01  11:00:00,18.7,64.0,3.1,180.0,8.543635054473782,235.0,602.0,24.18,40822.64086137488,1.1797805227552039,0.0,20.96136300650347,20.394616226535228,19.8639460533397,20.31881933511738,20.790677946426066,19.810356469606924,20.50863027482964,19.913251487896287,-1.670520887618893,-4.801416166012428,-2.5474988225395798,-4.8109146140780079,-1.635318835321778,-1.8580023609918222,-1.748740104305974,-1.9377108488234114 
 01/01  12:00:00,19.5,60.0,3.1,180.0,9.329398990383425,284.0,743.0,24.18,41336.70412185948,1.1756036337402656,0.0,21.313419049916939,20.97895850432126,20.460122056263143,20.906290023076218,21.36844812343582,20.147034471816519,20.94294519222532,20.567396171435417,-1.6273428385846303,-4.751031587961961,-2.3911600939184667,-4.764973122768942,-1.4550846230510582,-1.8157311606720242,-1.7265393335307198,-1.7086630836116122 
 01/01  13:00:00,20.3,56.0,3.1,180.0,9.524818961273752,233.0,567.0,24.18,41729.71166313516,1.1727090500758178,0.0,21.562527978405627,21.585905384419346,20.873311422525274,21.515511641081618,21.713824081311086,20.60819944609646,21.272468550789829,21.0792806974909,-1.5469747846819296,-4.577045628168594,-2.2529022181902604,-4.591975441148228,-1.3141128843695658,-1.7593161998242959,-1.6294616074690212,-1.5166886641004128 
 01/01  14:00:00,21.2,53.0,3.1,180.0,10.30247367791759,258.0,795.0,24.18,42656.09924807168,1.169117571827395,0.0,22.021769051294194,22.149559145530917,21.664548994554946,22.08435384378876,22.43562735149699,21.327514699210508,21.8450360015744,21.869119524789569,-1.479961292283357,-4.384541214977171,-2.114108815052992,-4.398706861977906,-1.1741055574255269,-1.6633925485418289,-1.5476772904759906,-1.3168418933049849 
 01/01  15:00:00,22.0,50.0,3.1,180.0,11.073780055127827,217.0,781.0,24.18,43271.597341962086,1.1660948804546756,0.0,22.361359705700438,22.71309998010753,22.353439372706086,22.64819404029934,22.9740574606407,22.15701074947323,22.35040186188126,22.553218226789988,-1.366646567839508,-4.19843015165401,-1.8980077514216274,-4.2094981731673049,-0.9928218031212243,-1.507291454027953,-1.4157321475803218,-1.0742482771334013 
 01/01  16:00:00,21.3,54.0,2.8,180.0,9.91444747927602,147.0,790.0,24.18,43302.40597043742,1.168323477141796,0.0,22.58853209245016,22.334747259084986,21.937687363323698,22.24752271998286,22.86620884201224,21.421332919531417,22.317970049703939,22.411436072548335,-1.275043989448623,-4.017403042345517,-1.7173344794241026,-4.026939362223622,-0.8819592279401523,-1.337830787815245,-1.2994902146757553,-0.8773358414319279 
 01/01  17:00:00,20.7,57.0,2.6,180.0,9.524818961273752,177.0,686.0,24.18,43097.281190298236,1.1692420273128495,0.0,22.363470146115714,21.898452184280264,21.528300384091755,21.83114605454885,22.5138865134184,20.917364228745549,21.95687528939044,22.039712262069615,-1.212248071936,-4.092817278669617,-1.7753194721221586,-4.10827711104459,-0.8994244507062746,-1.4566786015508638,-1.2945230518126403,-0.8702042903467209 
 01/01  18:00:00,20.0,62.0,2.3,180.0,8.148274592497842,93.0,632.0,24.18,43325.103411018106,1.171344321831812,0.0,22.10478832601555,21.395679998095525,21.078975921989039,21.331800180081335,22.088342519889744,20.3222597452597,21.59307803200118,21.644032246132288,-1.2393109935205709,-4.1989845056542,-1.8492616191299545,-4.209811685922851,-1.0032120135882093,-1.5640505971349213,-1.3580925695341873,-0.9551649270146237 
 01/01  19:00:00,19.3,67.0,2.0,180.0,6.7512197616709959,58.0,481.0,24.18,43426.909917289246,1.1735490980840758,0.0,21.724313564692137,20.827901432270584,20.824751923809715,20.753127272034708,21.78529947873596,20.266072673233727,21.11102947658658,21.321193917534808,-1.2830870484949695,-4.322205375761367,-1.934807009154626,-4.333073729228826,-1.1284904209374654,-1.6547876365101102,-1.4266098552801836,-1.0722341506244524 
 01/01  20:00:00,18.7,72.0,1.8,180.0,6.146024394745439,10.0,104.0,24.18,43670.45693504275,1.1753326526214337,0.0,21.479329044224778,20.435745295536909,20.725933433918145,20.345077920233608,21.627098158123489,21.556481096220293,20.751352090727076,21.090058177290638,-1.3622669444762743,-4.4714346362876828,-2.028792300972166,-4.4873054018785629,-1.234856126638845,-1.7088272621008572,-1.5211670376295959,-1.2207301257564714 
