Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Sky Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Ground Temperature [C](TimeStep),Environment:Site Outdoor Air Enthalpy [J/kg](TimeStep),Environment:Site Outdoor Air Density [kg/m3](TimeStep),Environment:Site Rain Status [](TimeStep),BLOCK1:ZONE4:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE3:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE7:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE6:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE5:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE2:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK6:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),PEOPLE BLOCK1:ZONE4:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE3:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE7:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE6:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE5:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK6:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON) 
 01/01  11:00:00,18.7,64.0,3.1,180.0,8.543635054473782,235.0,602.0,24.18,40822.64086137488,1.1797805227552039,0.0,21.232944732222764,21.258456030847726,20.289194837351809,20.556345233211798,21.323008146681013,20.138474597186059,20.914167343020627,20.387759486414486,-1.6382469975412184,-4.600899105456916,-2.211872420251345,-4.778854236977348,-1.329513348820126,-1.698135659164939,-1.639034719003016,-1.68009619627811 
 01/01  12:00:00,19.5,60.0,3.1,180.0,9.329398990383425,284.0,743.0,24.18,41336.70412185948,1.1756036337402656,0.0,21.34607389940834,21.632661547676486,20.291498620337188,20.897663916245919,21.0502047266251,20.260374319355575,20.91690894166773,20.379679533747806,-1.5633402579089984,-4.467786942460126,-2.141776045952422,-4.663163177625224,-1.2550038171502054,-1.6447445575986777,-1.596557992069733,-1.4847199808345535 
 01/01  13:00:00,20.3,56.0,3.1,180.0,9.524818961273752,233.0,567.0,24.18,41729.71166313516,1.1727090500758178,0.0,21.682978147447977,22.158333178338507,21.026891358311447,21.529396209266275,21.88023296879502,20.731549482841609,21.386042370439517,21.110729470518494,-1.528364850541106,-4.352314871383933,-2.154699805368221,-4.560423117209509,-1.2907542652950324,-1.656638625010861,-1.5902477626944367,-1.4528210269368287 
 01/01  14:00:00,21.2,53.0,3.1,180.0,10.30247367791759,258.0,795.0,24.18,42656.09924807168,1.169117571827395,0.0,22.097319716838809,22.69041172256203,21.675806116552406,22.183607600865387,22.388838741775378,21.38083447832512,21.88939624737778,21.865798585581353,-1.445600848181306,-4.1839200931676,-1.9609217780596693,-4.361684347583921,-1.0698838590860567,-1.562681978917331,-1.486486243140249,-1.227016271218316 
 01/01  15:00:00,22.0,50.0,3.1,180.0,11.073780055127827,217.0,781.0,24.18,43271.597341962086,1.1660948804546756,0.0,22.623785350781298,23.254704755740855,22.344845774136819,22.78233054066172,22.98770504705485,22.076620473927293,22.511351823406014,22.59499535119877,-1.3411550282750018,-4.009255988283651,-1.7854545658640476,-4.1481453419624,-0.9344630807641428,-1.424641609914942,-1.370396250870028,-1.0004975163801829 
 01/01  16:00:00,21.3,54.0,2.8,180.0,9.91444747927602,147.0,790.0,24.18,43302.40597043742,1.168323477141796,0.0,22.584031754319687,22.943403629500418,21.80824749820591,22.299154025228149,22.552991522348536,21.438934572825916,22.250035481519569,22.129943306025923,-1.217183247141782,-3.8257307701988787,-1.6182922466957908,-3.9573217574198624,-0.8174366097670478,-1.2852742131148989,-1.236140128205603,-0.8037971480005557 
 01/01  17:00:00,20.7,57.0,2.6,180.0,9.524818961273752,177.0,686.0,24.18,43097.281190298236,1.1692420273128495,0.0,22.35874381726705,22.615252853542914,21.335687969426848,21.828549882963313,22.11870186750713,20.920856272456147,21.902939088886236,21.672198428576594,-1.20240669845973,-3.8832053460040356,-1.7117214606646947,-4.060672541499701,-0.8990892909081475,-1.3902295161922063,-1.2740789580698476,-0.8663866843457257 
 01/01  18:00:00,20.0,62.0,2.3,180.0,8.148274592497842,93.0,632.0,24.18,43325.103411018106,1.171344321831812,0.0,22.09488085006067,22.23487957820816,20.810315409962948,21.258968313827134,21.609743497593219,20.310636718442937,21.529781007186079,21.178185026390464,-1.2297307684159045,-3.9539723753500048,-1.8114153561628208,-4.179453056853875,-1.0274830660328807,-1.505949268031274,-1.3384219185002358,-0.9796310654609479 
 01/01  19:00:00,19.3,67.0,2.0,180.0,6.7512197616709959,58.0,481.0,24.18,43426.909917289246,1.1735490980840758,0.0,21.696305293151928,21.829918117706428,20.425697694610599,20.61349650358557,21.18544098214235,20.44799998368442,21.108803490113048,20.739965304151178,-1.2746512221495108,-4.03777544450384,-1.9250611782017464,-4.325465430966728,-1.175021374485184,-1.6052946451943942,-1.410170402937725,-1.1267504019434418 
 01/01  20:00:00,18.7,72.0,1.8,180.0,6.146024394745439,10.0,104.0,24.18,43670.45693504275,1.1753326526214337,0.0,22.22292327669158,21.778610576872663,23.33913090411326,20.593532295059324,23.26811917207175,22.826309574310064,21.866237617174766,24.33756530526749,-1.3559397139882743,-4.132962049793228,-2.0589910435751248,-4.503804460598075,-1.312620406054588,-1.6087892408873528,-1.4961107336939337,-1.308271416932453 
 01/01  21:00:00,18.0,77.0,1.5,270.0,4.306433483985984,0.0,0.0,24.18,43547.92489318854,1.177721835680087,0.0,22.207062984944068,21.149977131892024,23.621506357996045,20.22370770757127,23.485370626220058,23.06285085480803,22.022457593775678,25.005378888173735,-1.2754109066715723,-4.126639060511887,-1.4081206331412833,-4.496182419745909,-0.9330978791150731,-1.1708274763446958,-1.3514928533796314,-0.6242757091306146 
 01/01  22:00:00,17.9,77.0,1.6,270.0,4.306433483985984,0.0,0.0,24.18,43283.28379231729,1.1782458660945719,0.0,21.87228387080121,20.969137811702546,24.179207055740755,20.33555698858154,23.931518394467557,23.62626196991119,21.681673552747605,25.036710248044327,-1.3012746429843692,-4.297498535501439,-1.3320734933973233,-4.61671008004304,-0.8990890357280359,-1.1228647164225663,-1.3283193292054203,-0.5195982973430748 
 01/01  23:00:00,17.8,77.0,1.7,270.0,4.099761881760685,0.0,0.0,24.18,43019.59219314941,1.1787695994807755,0.0,21.834877728543199,20.915054827374754,24.2279625507405,20.20096954217852,23.979320024831038,23.664562227906694,21.644656588527999,24.87612422405653,-1.392467415768318,-4.360767580491506,-1.2092359308067889,-4.583076291929361,-0.8199124479202338,-1.00815678998388,-1.3953150486601607,-0.5466670757064776 
 01/01  24:00:00,17.7,77.0,1.8,270.0,3.89262706263969,0.0,0.0,24.18,42731.50560749447,1.180491016007277,0.0,21.732590363979399,20.835643636914843,24.225912098080273,20.13502110102749,23.975559812966638,23.687212078841154,21.600229290343124,24.669469054040627,-1.4303044964604617,-4.387862759609396,-1.199130743243565,-4.630501083940302,-0.8240584865313348,-0.9987369049790918,-1.41120860609158,-0.6085136132367568 
 01/02  01:00:00,17.6,77.0,1.9,270.0,3.89262706263969,0.0,0.0,24.18,42469.86449192239,1.181014575649281,0.0,21.62419598766979,20.75866426324614,24.197907993039359,20.056362573144818,23.943946711394689,23.675752713523655,21.555623353057848,24.477057122704765,-1.4791211354000856,-4.424780163136474,-1.2023286357006314,-4.661786067570098,-0.8400373528704422,-0.994050635003491,-1.4294930091523673,-0.6747818737901079 
 01/02  02:00:00,17.4,77.0,2.0,270.0,3.6850265968540727,0.0,0.0,24.18,41949.380386503806,1.1820608311139068,0.0,21.589412931434184,20.496554708412519,24.085650437842678,21.62467119756881,23.83082629687472,23.59286904569499,22.223284525582757,24.264072228119603,-1.5274573189242136,-4.462266749421165,-1.2128717649396479,-4.698320623812922,-0.8626689735877049,-0.9977056910057897,-1.4478868651913335,-0.7363471437166032 
 01/02  03:00:00,17.3,77.0,2.1,270.0,3.4769580345465558,0.0,0.0,24.18,41690.52622934968,1.1825835335184352,0.0,21.534631284246595,20.457156354773454,24.00876785007873,20.548656116439028,23.7454182106303,23.52928418391863,21.748866517355034,24.111272661450927,-1.5609808940010966,-4.558811762971295,-1.2426720944779626,-4.2651515626066749,-0.9029985746879446,-1.0181505061394139,-1.32761516304029,-0.795647060743336 
 01/02  04:00:00,17.2,77.0,2.2,270.0,3.4769580345465558,0.0,0.0,24.18,41408.12270882541,1.184305996058987,0.0,21.4100945792246,20.369691384942436,23.93917280987621,20.538218807633858,23.670307610960973,23.474182130441844,21.703894236577946,23.96887443649676,-1.5978146959652029,-4.588164207041733,-1.2667960246414037,-4.555678769217298,-0.9377111426557474,-1.0357936462755342,-1.4262002528763942,-0.8447278326473637 
 01/02  05:00:00,17.1,77.0,2.3,270.0,3.268418905544422,0.0,0.0,24.18,41151.26346916448,1.1848285540551507,0.0,21.510294398868667,21.01440010326494,23.930921472508083,20.95906576919553,23.620487028415768,23.43537526224702,22.075023860925485,23.844911452266289,-1.6459111927789779,-4.631301029383013,-1.290066132913262,-4.556857899328708,-0.9707270928437698,-1.0526439182567096,-1.4441355142915496,-0.8896611931808431 
