Hora,Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Rain_Status,Jardim_PMV,Jardim_Temp,Sala_PMV,Sala_Temp,Mezanino_PMV,Mezanino_Temp,PortaSalaNorte,JanelaSalaNorte,PortaSalaLeste,JanelaSalaSul,JanelaSalaOeste,PortaCozinhaLeste,JanelaCozinhaSul,JanelaMezaninoNorte,JanelaMezaninoSul,JanelaMezaninoOeste
0.0,16.4,1.9,0.0,74.0,1.18674564357,0.0,-0.842727403624,20.5801530189,-1.19947947659,19.9483078424,-0.669817436029,19.1861073596,0.0,0.49472796917,0.48710167408,0.501428604126,0.506076931953,0.0,0.47357237339,0.476563632488,0.0,0.485965788364
1.0,16.1,2.2,0.0,76.0,1.1890553198,0.0,-1.58839295758,21.6253913701,-2.25787142804,21.1438226712,-1.91072215335,20.7017171634,0.0,0.494653761387,0.487085461617,0.50139850378,0.50604736805,0.0,0.473522901535,0.476528465748,0.0,0.485948383808
2.0,15.7,2.4,0.0,79.0,1.1904801071,0.0,-1.43681407218,21.7235005605,-2.02768934562,21.3059342219,-1.65829459354,20.156044195,0.0,0.494682908058,0.487088859081,0.501429378986,0.506061375141,0.0,0.473576068878,0.476540744305,0.0,0.485971957445
3.0,15.3,2.6,0.0,82.0,1.19193216436,0.0,-1.44770935037,21.8800855404,-2.02069332636,21.664834859,-1.80997163328,18.4436873348,0.0,0.494732350111,0.487118422985,0.501471400261,0.506118476391,0.0,0.473627746105,0.476547896862,0.0,0.486008018255
4.0,14.9,2.9,0.0,84.0,1.19482527955,0.0,-1.44439884845,21.2387907128,-1.9901325399,20.663739406,-2.21954816638,18.1403756759,0.0,0.494729816914,0.487107753754,0.501469194889,0.506118059158,0.0,0.473647892475,0.476548969746,0.0,0.485992759466
5.0,14.5,3.1,0.0,88.0,1.19612619231,0.0,-1.61224365056,20.7492645306,-2.24618287365,20.1118452745,-2.33730684542,18.0001590371,0.0,0.49472373724,0.487103402615,0.501468598843,0.506120860577,0.0,0.473670005798,0.476541876793,0.0,0.485981106758
6.0,15.3,3.1,0.0,82.0,1.19314011047,0.0,-1.70321339805,20.3434238886,-2.38936867611,19.5626227953,-2.38675257711,17.9881493482,0.0,0.494699150324,0.487109422684,0.501453757286,0.506111741066,0.0,0.473613083363,0.476553440094,0.0,0.485967665911
7.0,16.2,3.1,0.0,77.0,1.1895195383,0.0,-1.75723690257,19.9560521836,-2.52822051144,18.9753055765,-2.38041161926,18.0106456044,0.0,0.494674146175,0.487116396427,0.501434385777,0.506100654602,0.0,0.473552763462,0.476563930511,0.0,0.485947459936
8.0,17.0,3.1,180.0,72.0,1.18651444739,0.0,-1.79844182605,19.7942800337,-2.66129922001,18.7600284866,-2.33518141519,19.1947817617,0.0,0.494596868753,0.486043095589,0.50228279829,0.506186664104,0.0,0.474614083767,0.477168798447,0.0,0.4863679111
9.0,17.8,3.1,180.0,68.0,1.18336180654,0.0,-1.7796510399,20.1970840439,-2.69066211259,19.2122866595,-2.02476751741,19.6104657955,0.0,0.494565576315,0.486039936543,0.502255141735,0.506155669689,0.0,0.474596500397,0.477142930031,0.0,0.486349880695
10.0,18.7,3.1,180.0,64.0,1.17978052276,0.0,-1.65241526227,20.7677396607,-2.57237554847,19.8703935392,-1.85638341856,20.2389413038,0.0,0.494534701109,0.486034274101,0.502224743366,0.506122231483,0.0,0.474575996399,0.477116703987,0.0,0.486329913139
11.0,19.5,3.1,180.0,60.0,1.17560363374,0.0,-1.46136240201,21.3678926864,-2.3855629,20.4917941246,-1.62809467454,20.8639726996,0.0,0.494503736496,0.486027240753,0.502192974091,0.506085038185,0.0,0.474556863308,0.477088391781,0.0,0.486309379339
12.0,20.3,3.1,180.0,56.0,1.17270905008,0.0,-1.31504816636,21.7493024161,-2.24051488619,20.9654632318,-1.44080296704,21.3311884773,0.0,0.494471728802,0.486020922661,0.502158820629,0.506049871445,0.0,0.474535942078,0.477056860924,0.0,0.486285805702
13.0,21.2,3.1,180.0,53.0,1.16911757183,0.0,-1.1655643231,22.4899761838,-2.0856273315,21.763774422,-1.24667134284,22.1175692423,0.0,0.494445621967,0.486017823219,0.502131521702,0.506018698215,0.0,0.474516391754,0.477035224438,0.0,0.486269116402
14.0,22.0,3.1,180.0,50.0,1.16609488045,0.0,-0.980426347317,23.0052336797,-1.86765168962,22.3744942283,-1.00617864825,22.7484875177,0.0,0.49442076683,0.486013114452,0.502102911472,0.505988419056,0.0,0.474497914314,0.477010965347,0.0,0.486250609159
15.0,21.3,2.8,180.0,54.0,1.16832347714,0.0,-0.875544422568,22.8915360238,-1.70504818754,22.0172311445,-0.822936259536,22.7221328225,0.0,0.494451224804,0.486012578011,0.502131581306,0.506003320217,0.0,0.474519968033,0.477047026157,0.0,0.48627114296
