PortaSalaNorte,JanelaSalaNorte,PortaSalaLeste,JanelaSalaSul,JanelaSalaOeste,PortaCozinhaLeste,JanelaCozinhaSul,JanelaMezaninoNorte,JanelaMezaninoSul,JanelaMezaninoOeste
0.0885602533817,0.486253082752,0.472970306873,0.513695657253,0.516438663006,0.48291644454,0.529584467411,0.499048233032,0.491746932268,0.495732367039
0.0887041985989,0.486206322908,0.473012804985,0.513716340065,0.516425669193,0.482867687941,0.529540896416,0.499037951231,0.491751551628,0.495702415705
0.0885061621666,0.486159056425,0.472998827696,0.513759076595,0.516452431679,0.482839941978,0.52955108881,0.499093472958,0.491776883602,0.495689153671
0.0883076488972,0.486100524664,0.472974479198,0.513810992241,0.51648157835,0.482811927795,0.529561758041,0.499163299799,0.491796255112,0.495670050383
0.0881209373474,0.486076712608,0.47296911478,0.513861060143,0.51649004221,0.482762634754,0.529567241669,0.499187737703,0.49181073904,0.495656043291
0.0878927111626,0.486036777496,0.472951203585,0.513913929462,0.516532719135,0.482720911503,0.529594957829,0.499228268862,0.491829574108,0.495628684759
0.0879023373127,0.48604157567,0.472938090563,0.51389503479,0.51653277874,0.482659071684,0.529558837414,0.499238342047,0.491753548384,0.495618343353
0.0879752635956,0.486049234867,0.472933828831,0.51385229826,0.516525268555,0.482624411583,0.529519021511,0.499227702618,0.491691052914,0.495594531298
0.075058221817,0.487286806107,0.473038762808,0.515443265438,0.518393278122,0.479398727417,0.530938923359,0.50078690052,0.490771740675,0.496272087097
0.0751226246357,0.487268745899,0.473038315773,0.515450596809,0.518362462521,0.47941121459,0.530924618244,0.500773131847,0.490769505501,0.496251493692
0.0752031207085,0.487252295017,0.473035395145,0.515455842018,0.518326103687,0.479424566031,0.530906736851,0.500759363174,0.49077039957,0.496232032776
0.0752972960472,0.487235069275,0.473033696413,0.51546061039,0.518286347389,0.479438245296,0.530886292458,0.50074505806,0.49077168107,0.496211767197
0.0753894746304,0.487217456102,0.47303134203,0.515465378761,0.518246889114,0.479453295469,0.530867099762,0.500729858875,0.490773826838,0.49619191885
0.0754902362823,0.487196683884,0.473022282124,0.515472769737,0.518209218979,0.47946625948,0.530844569206,0.500718533993,0.490778148174,0.496172308922
0.0755895674229,0.487176090479,0.473008960485,0.515481352806,0.518179357052,0.479476958513,0.530826926231,0.500709831715,0.490781068802,0.496158868074
0.075551211834,0.487164348364,0.473019212484,0.515485167503,0.518204927444,0.479470342398,0.530835270882,0.500720083714,0.490787625313,0.496162772179
0.0755149424076,0.487148940563,0.473023295403,0.515490412712,0.518230557442,0.479463756084,0.530845761299,0.500732660294,0.490793585777,0.496169954538
0.0754543840885,0.487133562565,0.473023295403,0.515494823456,0.51827031374,0.479451745749,0.530861616135,0.500754714012,0.490803182125,0.496184915304
0.0754090845585,0.4871134758,0.473020732403,0.515503048897,0.518308877945,0.479440718889,0.530874550343,0.50077611208,0.490812391043,0.496197253466
0.0753801167011,0.487092286348,0.473018109798,0.515511870384,0.518335342407,0.479430288076,0.530879795551,0.500794649124,0.490820199251,0.496205866337
0.0752325952053,0.487140089273,0.473187357187,0.515546858311,0.518412709236,0.479461222887,0.530972242355,0.500687897205,0.490696549416,0.496171504259
0.0752555727959,0.487128049135,0.473179280758,0.515553832054,0.518401265144,0.47946074605,0.530959486961,0.500693321228,0.490701854229,0.496167838573
0.0752801001072,0.487115353346,0.473172336817,0.515560925007,0.518391132355,0.47946035862,0.530947327614,0.500698447227,0.490706562996,0.496164083481
