Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Jardim_PMV,Jardim_Temp,Sala_PMV,Sala_Temp,Mezanino_PMV,Mezanino_Temp,PortaSalaNorte,JanelaSalaNorte,PortaSalaLeste,JanelaSalaSul,JanelaSalaOeste,PortaCozinhaLeste,JanelaCozinhaSul,JanelaMezaninoNorte,JanelaMezaninoSul,JanelaMezaninoOeste
16.4,1.9,0.0,74.0,1.18674564357,-0.842727403624,20.5801530189,-1.19947947659,19.9483078424,-0.669817436029,19.1861073596,0.0,0.479999989271,0.469999998808,0.519999980927,0.479999989271,0.469999998808,0.490000009537,0.490000009537,0.479999989271,0.469999998808
16.1,2.2,0.0,76.0,1.1890553198,-1.58839295758,21.612725049,-2.25787142804,21.0892360043,-1.91072215335,20.3350266928,0.0,0.479999989271,0.469999998808,0.519999980927,0.479999989271,0.469999998808,0.490000009537,0.490000009537,0.479999989271,0.469999998808
15.7,2.4,0.0,79.0,1.1904801071,-1.43977641128,21.7235050386,-2.04445262104,21.3096580031,-1.73648858772,19.5081462422,0.0,0.479999989271,0.469999998808,0.519999980927,0.479999989271,0.469999998808,0.490000009537,0.490000009537,0.479999989271,0.469999998808
15.3,2.6,0.0,82.0,1.19193216436,-1.44810085813,21.8536503878,-2.03104485313,21.6243428044,-1.95514128223,18.0639187591,0.0,0.479999989271,0.469999998808,0.519999980927,0.479999989271,0.469999998808,0.490000009537,0.490000009537,0.479999989271,0.469999998808
14.9,2.9,0.0,84.0,1.19482527955,-1.45146956506,21.2992072631,-2.00621386689,20.781226058,-2.30586971329,18.0743891216,0.0,0.479999989271,0.469999998808,0.519999980927,0.479999989271,0.469999998808,0.490000009537,0.490000009537,0.479999989271,0.469999998808
14.5,3.1,0.0,88.0,1.19612619231,-1.59866863606,20.7428113678,-2.22193073941,20.0750332411,-2.35679723503,17.5778852628,0.0,0.479999989271,0.469999998808,0.519999980927,0.479999989271,0.469999998808,0.490000009537,0.490000009537,0.479999989271,0.469999998808
15.3,3.1,0.0,82.0,1.19314011047,-1.70800277679,20.2799527433,-2.40903785531,19.452904209,-2.48979668615,17.5942258213,0.0,0.479999989271,0.469999998808,0.519999980927,0.479999989271,0.469999998808,0.490000009537,0.490000009537,0.479999989271,0.469999998808
16.2,3.1,0.0,77.0,1.1895195383,-1.77334661179,19.8232749917,-2.56239119066,18.8258990898,-2.47753485576,17.803358228,0.0,0.479999989271,0.469999998808,0.519999980927,0.479999989271,0.469999998808,0.490000009537,0.490000009537,0.479999989271,0.469999998808
17.0,3.1,180.0,72.0,1.18651444739,-1.82862696019,19.8142734803,-2.70245021907,18.7643264401,-2.39144471273,18.758907684,0.0,0.469999998808,0.469999998808,0.519999980927,0.509999990463,0.469999998808,0.479999989271,0.469999998808,0.469999998808,0.460000008345
17.8,3.1,180.0,68.0,1.18336180654,-1.77827028855,20.2009108917,-2.70394673095,19.2526857912,-2.12885190902,19.2321854397,0.0,0.469999998808,0.469999998808,0.519999980927,0.509999990463,0.469999998808,0.479999989271,0.469999998808,0.469999998808,0.460000008345
