Hora,Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Rain_Status,Solteiro_PMV,Solteiro_Temp,Circulacao_PMV,Circulacao_Temp,JanelaSolteiroNorte,PortaSolteiroSul,JanelaSolteiroSul
11.0,23.0,1.8,90.0,53.0,1.15901415221,0.0,-3.63182532297,23.8154586904,-1.00165104698,24.2961668649,0.5,0.0,0.479999989271
12.0,24.0,1.7,90.0,50.0,1.15507819642,0.0,-3.47351206941,24.2189149331,-0.782041392813,24.4222336237,0.5,0.0,0.479999989271
13.0,25.0,1.6,90.0,47.0,1.15123947612,0.0,-3.31653854116,24.6585882296,-0.712210164337,24.7390379165,0.5,0.0,0.479999989271
14.0,26.0,1.5,90.0,45.0,1.14594825246,0.0,-3.14674798648,25.1095705716,-0.607650116248,24.6489007588,0.5,0.0,0.479999989271
15.0,25.2,1.3,90.0,48.0,1.14871682953,0.0,-2.96502764833,24.9865716619,-0.588982715474,24.9857646923,0.5,0.0,0.479999989271
16.0,24.3,1.2,90.0,52.0,1.15171219482,0.0,-2.95642010222,24.8242386385,-0.495285442533,24.5078623725,0.5,0.0,0.479999989271
17.0,23.5,1.0,90.0,55.0,1.15466907652,0.0,-2.96230914462,24.5563916142,-0.570591345794,24.1116652042,0.5,0.0,0.479999989271
18.0,22.7,0.8,90.0,59.0,1.15737755359,0.0,-3.01004884439,24.2134298573,-0.647758787907,23.5804200615,0.5,0.0,0.479999989271
19.0,21.8,0.7,90.0,64.0,1.15921020859,0.0,-3.08167204266,23.9785760721,-0.752721669461,23.8177229246,0.5,0.0,0.479999989271
20.0,21.0,0.5,140.0,69.0,1.16183712158,0.0,-3.11700432526,23.6460436818,-0.70619086363,23.5947017762,0.5,0.0,0.479999989271
21.0,20.4,0.5,140.0,71.0,1.16438213633,0.0,-3.18507953127,23.0748990696,-0.749597256979,23.5476621135,0.5,0.0,0.479999989271
22.0,19.8,0.5,140.0,73.0,1.1681449117,0.0,-3.34944130155,22.7373242908,-0.762190314739,23.366661321,0.5,0.0,0.479999989271
23.0,19.2,0.6,140.0,76.0,1.17048268975,0.0,-3.45641032029,22.4339401053,-0.808186982592,23.0639633351,0.5,0.0,0.479999989271
0.0,18.6,0.6,140.0,79.0,1.17286498826,0.0,-3.5518265631,22.0652375133,-0.876680222902,22.7755850207,0.5,0.0,0.479999989271
1.0,17.9,0.6,140.0,82.0,1.17701797951,0.0,-3.67123244883,21.6187606121,-0.943657396969,22.4203165412,0.5,0.0,0.479999989271
2.0,17.3,0.6,140.0,85.0,1.17948837789,0.0,-3.82476555171,21.2449241567,-1.02951003858,22.1168965581,0.5,0.0,0.479999989271
3.0,16.7,0.7,140.0,87.0,1.18222615513,0.0,-3.95934595753,20.6749191324,-1.10571959203,22.4005734308,0.5,0.0,0.479999989271
4.0,16.1,0.7,140.0,91.0,1.18574851234,0.0,-4.16536343176,20.2879444859,-1.06329642689,22.0778690394,0.5,0.0,0.479999989271
5.0,15.5,0.7,140.0,94.0,1.18833281508,0.0,-4.30494729659,19.8114965345,-1.14966855656,21.9176581947,0.5,0.0,0.479999989271
6.0,17.0,0.8,140.0,86.0,1.18205546787,0.0,-4.47942278789,20.5474123452,-1.17799316031,22.0926327262,0.5,0.0,0.479999989271
7.0,18.5,0.9,140.0,79.0,1.17458816384,0.0,-4.27182204752,21.5060303567,-1.13903515168,20.9157557857,0.5,0.0,0.479999989271
8.0,20.0,1.0,140.0,73.0,1.16828648257,0.0,-3.98101376042,22.4197530129,-1.35753752009,21.5941183685,0.5,0.0,0.479999989271
9.0,21.5,1.1,140.0,67.0,1.16220500892,0.0,-3.69399009001,23.2146506083,-1.20837545735,22.5445871038,0.5,0.0,0.479999989271
10.0,23.0,1.2,140.0,62.0,1.15486167784,0.0,-3.43771693837,24.1109979454,-0.995703606415,23.5225807999,0.5,0.0,0.479999989271
11.0,24.5,1.2,140.0,57.0,1.1489150147,0.0,-3.13770204826,24.8655499787,-0.761784683256,24.5897932234,0.5,0.0,0.479999989271
12.0,26.0,1.3,140.0,53.0,1.14281451192,0.0,-2.87173146549,25.4297724693,-0.504396208372,25.4330834542,0.5,0.0,0.479999989271
13.0,27.5,1.4,140.0,49.0,1.13575103428,0.0,-2.65002844981,25.9617249171,-0.285471676621,25.3969473775,0.5,0.0,0.479999989271
14.0,29.0,1.5,230.0,45.0,1.13006924994,0.0,-2.43190604399,25.9906246982,-0.246611360283,25.4543936411,0.490000009537,0.0,0.479999989271
15.0,28.0,1.3,230.0,49.0,1.13324843187,0.0,-2.39258783714,26.0076376867,-0.209116169792,25.6601909496,0.490000009537,0.0,0.479999989271
16.0,27.0,1.2,230.0,52.0,1.13700406339,0.0,-2.33389071635,25.9990512187,-0.142131531434,25.7629320214,0.5,0.0,0.479999989271
17.0,26.0,1.0,230.0,56.0,1.14047461893,0.0,-2.29354785256,25.9996903762,-0.104546458985,25.960716704,0.5,0.0,0.479999989271
18.0,25.0,0.8,230.0,60.0,1.14408737929,0.0,-2.25276885587,25.9227492549,-0.0520675071859,25.5304372152,0.5,0.0,0.479999989271
19.0,24.0,0.7,230.0,64.0,1.14783261802,0.0,-2.23343455841,25.6303776261,-0.126710569247,25.1303081756,0.5,0.0,0.479999989271
20.0,23.0,0.5,50.0,69.0,1.15137052241,0.0,-2.28902731083,25.2984513603,-0.207407970686,24.9106774779,0.5,0.0,0.479999989271
21.0,22.4,0.5,50.0,71.0,1.15388622415,0.0,-2.35428846583,24.7085466361,-0.257448535534,24.8784114309,0.5,0.0,0.479999989271
22.0,21.8,0.5,50.0,73.0,1.15761377202,0.0,-2.52206344652,24.372676653,-0.268166154963,24.5719040531,0.509999990463,0.0,0.479999989271
23.0,21.2,0.6,50.0,75.0,1.16019161282,0.0,-2.62361076405,23.9797158498,-0.339481700833,24.4074200135,0.509999990463,0.0,0.479999989271
0.0,20.6,0.6,50.0,78.0,1.16369567553,0.0,-2.74394208695,23.6590819673,-0.383936774102,24.0808382812,0.509999990463,0.0,0.490000009537
1.0,19.9,0.6,50.0,80.0,1.16687601664,0.0,-2.84544955334,23.2158488344,-0.459707537999,23.7665244923,0.509999990463,0.0,0.490000009537
2.0,19.3,0.6,50.0,83.0,1.17047180182,0.0,-2.99825515403,22.8516232073,-0.538566889933,23.5096403055,0.509999990463,0.0,0.490000009537
3.0,18.7,0.7,50.0,85.0,1.17317882712,0.0,-3.1247516826,22.408072823,-0.605831992652,23.3632331326,0.509999990463,0.0,0.490000009537
4.0,18.1,0.7,50.0,88.0,1.17685649709,0.0,-3.28574659461,22.08056213,-0.65358066162,22.9403661541,0.509999990463,0.0,0.490000009537
5.0,17.5,0.7,50.0,91.0,1.17937958809,0.0,-3.41235391497,21.6694431119,-0.757084062671,22.6463237422,0.509999990463,0.0,0.490000009537
