Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Jardim_PMV,Jardim_Temp,Sala_PMV,Sala_Temp,Mezanino_PMV,Mezanino_Temp,PortaSalaNorte,JanelaSalaNorte,PortaSalaLeste,JanelaSalaSul,JanelaSalaOeste,PortaCozinhaLeste,JanelaCozinhaSul,JanelaMezaninoNorte,JanelaMezaninoSul,JanelaMezaninoOeste
16.4,1.9,0.0,74.0,1.18674564357,-0.842727403624,20.5801530189,-1.19947947659,19.9483078424,-0.669817436029,19.1861073596,0.0,0.209999993443,0.189999997616,0.189999997616,0.189999997616,0.209999993443,0.180000007153,0.189999997616,0.209999993443,0.189999997616
16.1,2.2,0.0,76.0,1.1890553198,-1.58839295758,21.6308828049,-2.25787142804,21.1311393104,-1.91072215335,20.2914272807,0.0,0.170000001788,0.15000000596,0.159999996424,0.15000000596,0.170000001788,0.15000000596,0.159999996424,0.170000001788,0.15000000596
15.7,2.4,0.0,79.0,1.1904801071,-1.43582897683,22.1080253878,-2.03569044198,21.7683583466,-1.74606375889,21.6022459255,0.0,0.140000000596,0.119999997318,0.129999995232,0.119999997318,0.129999995232,0.119999997318,0.119999997318,0.129999995232,0.119999997318
15.3,2.6,0.0,82.0,1.19193216436,-1.3707595926,22.1037202873,-1.90032795319,21.9266058369,-1.50177228776,21.6491452192,0.0,0.129999995232,0.109999999404,0.119999997318,0.119999997318,0.119999997318,0.109999999404,0.119999997318,0.119999997318,0.109999999404
14.9,2.9,0.0,84.0,1.19482527955,-1.39348183244,22.0748399407,-1.87586639135,22.3512806795,-1.5092250221,21.5400213156,0.0,0.119999997318,0.10000000149,0.119999997318,0.109999999404,0.109999999404,0.10000000149,0.109999999404,0.109999999404,0.10000000149
14.5,3.1,0.0,88.0,1.19612619231,-1.422367389,22.0210485521,-1.79768134957,22.5009894215,-1.54830140479,20.8651323977,0.0,0.119999997318,0.10000000149,0.109999999404,0.109999999404,0.109999999404,0.10000000149,0.109999999404,0.109999999404,0.10000000149
15.3,3.1,0.0,82.0,1.19314011047,-1.41697590145,22.1054174855,-1.7725413299,22.4874644321,-1.68477883557,20.4202144251,0.0,0.140000000596,0.119999997318,0.129999995232,0.119999997318,0.129999995232,0.119999997318,0.119999997318,0.129999995232,0.119999997318
16.2,3.1,0.0,77.0,1.1895195383,-1.36063124234,21.9911979052,-1.78024389173,21.1184442721,-1.76292497502,18.8998329228,0.0,0.20000000298,0.180000007153,0.180000007153,0.180000007153,0.189999997616,0.170000001788,0.180000007153,0.189999997616,0.180000007153
17.0,3.1,180.0,72.0,1.18651444739,-1.34828096472,21.7218073764,-2.10008082115,20.4351636259,-2.062771374,20.5724002085,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.479999989271,0.490000009537,0.5,0.490000009537
17.8,3.1,180.0,68.0,1.18336180654,-1.34105467399,21.6350185545,-2.2151642446,20.4167558055,-1.6466568746,20.5639101261,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.490000009537,0.5,0.5,0.490000009537
18.7,3.1,180.0,64.0,1.17978052276,-1.30569614653,21.0133576397,-2.20163112726,20.0130044975,-1.57273339135,20.1663208081,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.490000009537,0.5,0.509999990463,0.490000009537
19.5,3.1,180.0,60.0,1.17560363374,-1.35618014563,21.5489846916,-2.27027085454,20.5791524722,-1.57757256957,20.724990235,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.519999980927,0.5,0.5,0.509999990463,0.490000009537
20.3,3.1,180.0,56.0,1.17270905008,-1.23077579873,21.8698000734,-2.14856031465,20.9833247991,-1.41789706789,21.2047178167,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.519999980927,0.5,0.509999990463,0.509999990463,0.490000009537
21.2,3.1,180.0,53.0,1.16911757183,-1.09891789795,22.5652872724,-2.01855499232,21.7458268106,-1.23304386998,21.966980529,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.519999980927,0.5,0.509999990463,0.509999990463,0.490000009537
22.0,3.1,180.0,50.0,1.16609488045,-0.925490135371,23.0520408812,-1.81375975843,22.3701763326,-1.00146068714,22.5958411749,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.519999980927,0.5,0.509999990463,0.509999990463,0.490000009537
21.3,2.8,180.0,54.0,1.16832347714,-0.827874853112,22.9575906111,-1.65205946954,21.9907118095,-0.821068681532,22.4638706481,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.519999980927,0.5,0.509999990463,0.509999990463,0.490000009537
20.7,2.6,180.0,57.0,1.16924202731,-0.843051402401,22.6059297907,-1.70644506408,21.5833690439,-0.815442532965,22.0959699599,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.519999980927,0.5,0.5,0.509999990463,0.490000009537
20.0,2.3,180.0,62.0,1.17134432183,-0.949854839248,22.1778991009,-1.78405989166,21.1331140648,-0.903165592034,21.6957032525,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.490000009537,0.5,0.509999990463,0.490000009537
19.3,2.0,180.0,67.0,1.17354909808,-1.07739191299,21.8682106063,-1.8737318637,20.8765610447,-1.02446800444,21.3755227104,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.490000009537,0.5,0.509999990463,0.490000009537
18.7,1.8,180.0,72.0,1.17533265262,-1.18692968674,21.7033044809,-1.97168745548,20.767989913,-1.17510174482,21.1386349591,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.490000009537,0.5,0.5,0.490000009537
18.0,1.5,270.0,77.0,1.17772183568,-1.26113801031,21.396770004,-2.02918660315,20.4737265529,-1.31092438661,20.9529420221,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.490000009537,0.5,0.5,0.490000009537
17.9,1.6,270.0,77.0,1.17824586609,-1.35187572076,21.1179621561,-2.11672989418,20.1875014753,-1.42032183907,20.6129376474,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.490000009537,0.5,0.5,0.490000009537
17.8,1.7,270.0,77.0,1.17876959948,-1.43842818403,20.9718445349,-2.21168311202,20.0716604073,-1.55441268427,20.438568364,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.490000009537,0.5,0.5,0.490000009537
17.7,1.8,270.0,77.0,1.18049101601,-1.49919213101,20.8294137927,-2.26757416847,19.9490571455,-1.64610456418,20.2788093982,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.490000009537,0.5,0.5,0.490000009537
17.6,1.9,270.0,77.0,1.18101457565,-1.55881008863,20.6998454715,-2.32428259709,19.8678587762,-1.72672318186,20.1608753796,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.490000009537,0.5,0.5,0.490000009537
17.4,2.0,270.0,77.0,1.18206083111,-1.6164271992,20.58365263,-2.36938321982,19.7722256903,-1.79148957176,20.044212014,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.490000009537,0.5,0.5,0.490000009537
17.3,2.1,270.0,77.0,1.18258353352,-1.67209695022,20.4369288927,-2.42004063206,19.648197367,-1.85344487648,19.8987756756,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.490000009537,0.5,0.5,0.490000009537
17.2,2.2,270.0,77.0,1.18430599606,-1.73166410856,20.3231496715,-2.47352864787,19.5635336155,-1.91690234371,19.7882758227,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.490000009537,0.5,0.5,0.490000009537
17.1,2.3,270.0,77.0,1.18482855406,-1.78393109435,20.1749511285,-2.51825637553,19.4203216845,-1.96955996348,19.6389599672,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.490000009537,0.5,0.5,0.490000009537
17.0,2.4,270.0,77.0,1.18535083639,-1.84239686839,20.035081128,-2.57601874668,19.3114473496,-2.02776630476,19.5021789335,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.490000009537,0.5,0.5,0.490000009537
18.0,2.3,270.0,73.0,1.1811034955,-1.86187264758,20.408071904,-2.60973278884,19.8259046561,-2.05497780131,19.9226033801,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.490000009537,0.5,0.509999990463,0.490000009537
19.0,2.2,270.0,68.0,1.17720895969,-1.75728692672,20.8582941842,-2.48893499803,20.3063937993,-1.92761457864,20.4570598655,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.490000009537,0.5,0.509999990463,0.490000009537
20.0,2.1,90.0,64.0,1.17197693047,-1.62023783641,21.3202139835,-2.35665308793,20.9396259853,-1.73895524694,21.063309508,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.490000009537,0.5,0.509999990463,0.490000009537
21.0,2.0,90.0,60.0,1.16804280174,-1.44549590407,22.0686806177,-2.16933450554,21.7335051069,-1.50303097444,21.9654600094,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.509999990463,0.5,0.5,0.509999990463,0.490000009537
22.0,1.9,90.0,57.0,1.16390934179,-1.22705846233,22.7392802749,-1.9435047549,22.5102208054,-1.20451461995,22.8416954935,0.0,0.479999989271,0.490000009537,0.479999989271,0.469999998808,0.519999980927,0.5,0.509999990463,0.509999990463,0.490000009537
23.0,1.8,90.0,53.0,1.15901415221,-1.00534513316,23.5853775947,-1.71110822296,23.3668676433,-0.899086846595,23.8931814152,0.0,0.479999989271,0.490000009537,0.479999989271,0.479999989271,0.519999980927,0.5,0.509999990463,0.509999990463,0.5
24.0,1.7,90.0,50.0,1.15507819642,-0.745245434577,24.2458946431,-1.45982734929,24.048811262,-0.559787160529,24.8405492863,0.0,0.490000009537,0.490000009537,0.490000009537,0.479999989271,0.519999980927,0.509999990463,0.509999990463,0.509999990463,0.5
25.0,1.6,90.0,47.0,1.15123947612,-0.546121008752,24.8124590666,-1.24029742616,24.6915038694,-0.242774823485,25.7810283306,0.0,0.490000009537,0.490000009537,0.490000009537,0.479999989271,0.519999980927,0.509999990463,0.509999990463,0.519999980927,0.5
26.0,1.5,90.0,45.0,1.14594825246,-0.383003636199,25.2698132627,-1.03517288036,25.2192226958,0.0541183866678,26.696388919,0.0,0.490000009537,0.490000009537,0.490000009537,0.479999989271,0.519999980927,0.509999990463,0.509999990463,0.519999980927,0.5
25.2,1.3,90.0,48.0,1.14871682953,-0.256094090086,25.3120431236,-0.845987634707,25.0934731719,0.338717574877,26.4155140465,0.0,0.490000009537,0.490000009537,0.490000009537,0.479999989271,0.519999980927,0.5,0.509999990463,0.519999980927,0.5
24.3,1.2,90.0,52.0,1.15171219482,-0.241906619621,24.9903578489,-0.826880272797,24.5992914821,0.333293256861,25.7521407685,0.0,0.490000009537,0.490000009537,0.479999989271,0.479999989271,0.519999980927,0.5,0.509999990463,0.509999990463,0.490000009537
