Hora,Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Rain_Status,Solteiro_PMV,Solteiro_Temp,Circulacao_PMV,Circulacao_Temp,JanelaSolteiroNorte,PortaSolteiroSul,JanelaSolteiroSul
0.0,16.4,1.9,0.0,74.0,1.18674564357,0.0,-4.60754577872,19.5304630077,-1.4693443491,20.8413420702,0.490000009537,0.0,0.5
1.0,16.1,2.2,0.0,76.0,1.1890553198,0.0,-4.86561666774,21.1847506439,-1.59792384768,22.4885898732,0.490000009537,0.0,0.5
2.0,15.7,2.4,0.0,79.0,1.1904801071,0.0,-4.38882614171,20.9413144183,-1.28926776948,22.5788770007,0.490000009537,0.0,0.5
3.0,15.3,2.6,0.0,82.0,1.19193216436,0.0,-4.46074047713,20.9486643767,-1.27812370854,22.555191377,0.490000009537,0.0,0.5
4.0,14.9,2.9,0.0,84.0,1.19482527955,0.0,-4.46331040047,20.413585272,-1.28932478519,22.1912178536,0.490000009537,0.0,0.5
5.0,14.5,3.1,0.0,88.0,1.19612619231,0.0,-4.63611580467,20.0808904399,-1.36969832118,21.8808543666,0.490000009537,0.0,0.5
6.0,15.3,3.1,0.0,82.0,1.19314011047,0.0,-4.73705834528,20.3007039568,-1.43014349753,21.5816345975,0.490000009537,0.0,0.5
7.0,16.2,3.1,0.0,77.0,1.1895195383,0.0,-4.68475788951,18.9945332338,-1.47411481516,20.0357828784,0.490000009537,0.0,0.5
8.0,17.0,3.1,180.0,72.0,1.18651444739,0.0,-5.09265683283,20.7665268427,-1.77828549308,21.0043527839,0.490000009537,0.0,0.5
9.0,17.8,3.1,180.0,68.0,1.18336180654,0.0,-4.5891417789,20.8726690657,-1.59827676436,20.6452997378,0.490000009537,0.0,0.5
10.0,18.7,3.1,180.0,64.0,1.17978052276,0.0,-4.55131573115,21.2931188623,-1.66612091795,20.7723612853,0.490000009537,0.0,0.5
11.0,19.5,3.1,180.0,60.0,1.17560363374,0.0,-4.4210237853,21.6748110315,-1.62613898005,20.8727711848,0.490000009537,0.0,0.5
