Hora,Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Rain_Status,Jardim_PMV,Jardim_Temp,Sala_PMV,Sala_Temp,Mezanino_PMV,Mezanino_Temp,PortaSalaNorte,JanelaSalaNorte,PortaSalaLeste,JanelaSalaSul,JanelaSalaOeste,PortaCozinhaLeste,JanelaCozinhaSul,JanelaMezaninoNorte,JanelaMezaninoSul,JanelaMezaninoOeste
0.0,16.8,2.2,90.0,79.0,1.18953978944,0.0,0.165068992149,21.9746296373,-0.828422577197,20.0406258795,-0.420828879278,20.4029487444,0.0,0.340000003576,0.360000014305,0.379999995232,0.340000003576,0.330000013113,0.319999992847,0.379999995232,0.34999999404,0.34999999404
1.0,16.5,2.1,90.0,80.0,1.18968660393,0.0,0.0901851512414,21.6619344098,-0.876447360741,19.8079573986,-0.480942633604,20.1561692267,0.0,0.340000003576,0.360000014305,0.379999995232,0.330000013113,0.330000013113,0.319999992847,0.370000004768,0.34999999404,0.34999999404
2.0,16.2,2.0,90.0,82.0,1.19081897252,0.0,0.000180165569509,21.4134251508,-0.936774036111,19.6190611194,-0.545300486965,19.9312016307,0.0,0.340000003576,0.34999999404,0.379999995232,0.330000013113,0.330000013113,0.319999992847,0.370000004768,0.340000003576,0.340000003576
3.0,15.9,1.9,90.0,84.0,1.19196483757,0.0,-0.0781186334539,21.1494030261,-0.985805970951,19.3844611774,-0.602973407775,19.7085301148,0.0,0.330000013113,0.34999999404,0.379999995232,0.330000013113,0.330000013113,0.319999992847,0.370000004768,0.340000003576,0.340000003576
4.0,15.6,1.9,90.0,86.0,1.19312389899,0.0,-0.156279802353,20.8169343406,-1.04351294673,19.1172221646,-0.65938883481,19.4265052642,0.0,0.330000013113,0.34999999404,0.370000004768,0.330000013113,0.330000013113,0.310000002384,0.370000004768,0.340000003576,0.340000003576
5.0,15.3,1.8,90.0,88.0,1.19429586419,0.0,-0.242469192546,20.5697010403,-1.10707144499,18.8958024568,-0.723828579633,19.1761199275,0.0,0.330000013113,0.34999999404,0.370000004768,0.330000013113,0.319999992847,0.310000002384,0.360000014305,0.340000003576,0.340000003576
6.0,15.0,1.7,90.0,90.0,1.19548044411,0.0,-0.316203611372,20.327778139,-1.16586892626,18.7136887879,-0.784677890804,18.9752455559,0.0,0.330000013113,0.340000003576,0.370000004768,0.319999992847,0.319999992847,0.310000002384,0.360000014305,0.330000013113,0.330000013113
7.0,16.5,1.8,90.0,81.0,1.18946076848,0.0,-0.299935565155,20.9311762415,-1.21072701343,19.4648678289,-0.81320250983,19.6315522199,0.0,0.360000014305,0.379999995232,0.40000000596,0.360000014305,0.34999999404,0.340000003576,0.40000000596,0.370000004768,0.370000004768
8.0,18.0,2.0,50.0,73.0,1.18349698378,0.0,-0.0604772254258,22.2057527885,-1.0889453782,20.5985707759,-0.690880440536,20.89021955,0.0,0.310000002384,0.319999992847,0.34999999404,0.300000011921,0.300000011921,0.289999991655,0.340000003576,0.319999992847,0.319999992847
9.0,19.5,2.2,50.0,65.0,1.1766350948,0.0,0.323532814678,23.4352009352,-0.870540162893,21.5914843327,-0.441953554647,22.0223993173,0.0,0.330000013113,0.34999999404,0.370000004768,0.330000013113,0.330000013113,0.319999992847,0.370000004768,0.340000003576,0.340000003576
10.0,21.0,2.3,50.0,59.0,1.17070655291,0.0,0.728991125286,25.0617454663,-0.653045967749,22.7216084917,-0.18121450354,23.3698665058,0.0,0.34999999404,0.360000014305,0.389999985695,0.340000003576,0.340000003576,0.330000013113,0.379999995232,0.360000014305,0.34999999404
11.0,22.5,2.5,50.0,53.0,1.16385565293,0.0,1.10615029747,26.3482779214,-0.416674984288,24.1064442286,0.112290058952,24.1084406991,0.0,0.370000004768,0.389999985695,0.409999996424,0.370000004768,0.370000004768,0.360000014305,0.409999996424,0.379999995232,0.379999995232
12.0,24.0,2.7,50.0,48.0,1.15812341567,0.0,1.32020668693,26.9356143837,-0.166773789568,24.8530826941,0.271316417485,24.8468884065,0.0,0.409999996424,0.419999986887,0.449999988079,0.409999996424,0.409999996424,0.40000000596,0.449999988079,0.419999986887,0.419999986887
13.0,25.5,2.8,50.0,44.0,1.15226341542,0.0,1.55824959991,28.1383943406,0.0212583510462,25.8802714153,0.483274617601,26.1173007343,0.0,0.419999986887,0.439999997616,0.460000008345,0.419999986887,0.419999986887,0.409999996424,0.460000008345,0.439999997616,0.430000007153
14.0,27.0,3.0,270.0,39.0,1.14587013592,0.0,1.76068335218,28.1617715022,0.224977456537,25.9968737757,0.727720229505,26.1336425891,0.0,0.449999988079,0.469999998808,0.5,0.460000008345,0.449999988079,0.449999988079,0.5,0.479999989271,0.469999998808
15.0,25.5,2.6,270.0,44.0,1.15109672513,0.0,1.74006277995,28.0600591622,0.265124086618,25.9598514112,0.762075975464,26.6208627271,0.0,0.439999997616,0.460000008345,0.479999989271,0.439999997616,0.430000007153,0.430000007153,0.479999989271,0.460000008345,0.449999988079
16.0,24.0,2.2,270.0,50.0,1.15625077612,0.0,1.64644798637,26.9957413393,0.28060325516,24.905825705,0.831623888164,25.5942781083,0.0,0.430000007153,0.449999988079,0.479999989271,0.430000007153,0.430000007153,0.419999986887,0.479999989271,0.449999988079,0.439999997616
17.0,22.5,1.7,270.0,57.0,1.16139182151,0.0,1.41455289237,26.0129637324,0.128325605808,23.8041139715,0.673503405263,24.6236159829,0.0,0.430000007153,0.449999988079,0.469999998808,0.430000007153,0.419999986887,0.419999986887,0.469999998808,0.449999988079,0.439999997616
18.0,21.0,1.3,270.0,64.0,1.16686410659,0.0,1.15316396645,25.0685930654,-0.0538682263491,22.9834066183,0.47565263614,23.5860682657,0.0,0.419999986887,0.439999997616,0.469999998808,0.419999986887,0.409999996424,0.409999996424,0.460000008345,0.439999997616,0.430000007153
19.0,19.5,0.9,270.0,73.0,1.1720942598,0.0,0.944864559986,24.1802822239,-0.192151793484,21.9965441876,0.284358003562,22.6089336783,0.0,0.419999986887,0.430000007153,0.460000008345,0.409999996424,0.409999996424,0.40000000596,0.460000008345,0.430000007153,0.430000007153
20.0,18.0,0.5,320.0,83.0,1.1774363225,0.0,0.748583241416,23.3464369,-0.359661040249,21.1787714576,0.0952226375216,21.7174491329,0.0,0.409999996424,0.430000007153,0.460000008345,0.409999996424,0.40000000596,0.40000000596,0.449999988079,0.430000007153,0.419999986887
