Hora,Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Rain_Status,Jardim_PMV,Jardim_Temp,Sala_PMV,Sala_Temp,Mezanino_PMV,Mezanino_Temp,PortaSalaNorte,JanelaSalaNorte,PortaSalaLeste,JanelaSalaSul,JanelaSalaOeste,PortaCozinhaLeste,JanelaCozinhaSul,JanelaMezaninoNorte,JanelaMezaninoSul,JanelaMezaninoOeste
0.0,16.4,1.9,0.0,74.0,1.18674564357,0.0,-0.842727403624,20.5801530189,-1.19947947659,19.9483078424,-0.669817436029,19.1861073596,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1.0,16.1,2.2,0.0,76.0,1.1890553198,0.0,-1.58839295758,21.5979082773,-2.25787142804,21.0979877277,-1.91072215335,20.2288225238,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2.0,15.7,2.4,0.0,79.0,1.1904801071,0.0,-1.44260648232,21.7272563573,-2.04392223482,21.3265851424,-1.75944417862,19.4424575255,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
3.0,15.3,2.6,0.0,82.0,1.19193216436,0.0,-1.44747403481,21.8528018109,-2.02833459288,21.6315134258,-1.9701175318,18.05219914,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
4.0,14.9,2.9,0.0,84.0,1.19482527955,0.0,-1.45174653127,21.2933404743,-2.00503485916,20.7842044739,-2.30923320227,18.0685018195,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
5.0,14.5,3.1,0.0,88.0,1.19612619231,0.0,-1.59993648447,20.7166794446,-2.22167157996,20.0508002121,-2.35895044788,17.5340081321,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
6.0,15.3,3.1,0.0,82.0,1.19314011047,0.0,-1.71390866947,20.2414424064,-2.41608001292,19.4215471564,-2.50083098023,17.54951955,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
7.0,16.2,3.1,0.0,77.0,1.1895195383,0.0,-1.78178324157,19.7665732582,-2.57104117181,18.7891294022,-2.4888417262,17.7710903386,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
8.0,17.0,3.1,180.0,72.0,1.18651444739,0.0,-1.84021857009,19.7980745284,-2.70995655697,18.7752249932,-2.39872958973,18.7444531914,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
9.0,17.8,3.1,180.0,68.0,1.18336180654,0.0,-1.78215222711,20.1900436642,-2.7018775374,19.2688187162,-2.13272941121,19.2261194686,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
10.0,18.7,3.1,180.0,64.0,1.17978052276,0.0,-1.65773823712,20.7109367606,-2.57101432658,19.8127902082,-1.95707023341,19.8647238132,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
11.0,19.5,3.1,180.0,60.0,1.17560363374,0.0,-1.47679712229,21.3223877074,-2.41113235625,20.4547769564,-1.72512063578,20.5444255719,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
12.0,20.3,3.1,180.0,56.0,1.17270905008,0.0,-1.32864976982,21.6621474935,-2.26172136998,20.8511677111,-1.52679857093,21.0513942852,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
13.0,21.2,3.1,180.0,53.0,1.16911757183,0.0,-1.18977173988,22.3847269112,-2.12640275546,21.6420674631,-1.32786929773,21.8402564406,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
14.0,22.0,3.1,180.0,50.0,1.16609488045,0.0,-1.00822850782,22.9272266089,-1.91006433615,22.332267444,-1.08522376632,22.5244599981,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
15.0,21.3,2.8,180.0,54.0,1.16832347714,0.0,-0.896494972505,22.8163994749,-1.72884790338,21.9148219074,-0.888148461378,22.3801376141,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
16.0,20.7,2.6,180.0,57.0,1.16924202731,0.0,-0.913139576046,22.4531602265,-1.78693548265,21.496114594,-0.881429096549,21.9993883155,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
17.0,20.0,2.3,180.0,62.0,1.17134432183,0.0,-1.02027278186,22.0210185548,-1.86288606316,21.0402802679,-0.968325927836,21.5963970176,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
18.0,19.3,2.0,180.0,67.0,1.17354909808,0.0,-1.14676490862,21.7094208976,-1.94984527513,20.7772476406,-1.08697255629,21.2666344973,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
19.0,18.7,1.8,180.0,72.0,1.17533265262,0.0,-1.25500174685,21.5493311922,-2.0458315688,20.6711254776,-1.23696553105,21.0313289476,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
20.0,18.0,1.5,270.0,77.0,1.17772183568,0.0,-1.32672430183,21.2397911495,-2.09966950491,20.3678874201,-1.37000853851,20.8384256983,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
