Hora,Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Rain_Status,Casal_PMV,Casal_Temp,Circulacao_PMV,Circulacao_Temp,JanelaCasalNorte,PortaCasalOeste,JanelaCasalOeste
0.0,16.4,1.9,0.0,74.0,1.18674564357,0.0,-4.65072795432,19.5359850552,-1.4693443491,20.9264217149,0.490000009537,0.0,0.469999998808
1.0,16.1,2.2,0.0,76.0,1.1890553198,0.0,-4.89073929215,21.1554736369,-1.58186471009,22.4799424331,0.490000009537,0.0,0.469999998808
2.0,15.7,2.4,0.0,79.0,1.1904801071,0.0,-4.42875398657,20.9278751044,-1.29107994567,22.5720151573,0.490000009537,0.0,0.469999998808
3.0,15.3,2.6,0.0,82.0,1.19193216436,0.0,-4.49857679462,20.9368572507,-1.28006876201,22.5789936104,0.490000009537,0.0,0.469999998808
4.0,14.9,2.9,0.0,84.0,1.19482527955,0.0,-4.50258129405,20.4414662754,-1.28594078543,22.2032842302,0.490000009537,0.0,0.469999998808
5.0,14.5,3.1,0.0,88.0,1.19612619231,0.0,-4.66599257637,20.1154104568,-1.3689882214,21.9022913267,0.490000009537,0.0,0.469999998808
6.0,15.3,3.1,0.0,82.0,1.19314011047,0.0,-4.76803026114,20.3651814641,-1.42673501794,21.6987257992,0.490000009537,0.0,0.469999998808
7.0,16.2,3.1,0.0,77.0,1.1895195383,0.0,-4.70541735054,18.9857719753,-1.45000668529,20.1660040367,0.490000009537,0.0,0.469999998808
8.0,17.0,3.1,180.0,72.0,1.18651444739,0.0,-5.14599893581,20.8039036678,-1.75526932863,21.0087349725,0.490000009537,0.0,0.490000009537
9.0,17.8,3.1,180.0,68.0,1.18336180654,0.0,-4.62185685388,21.1087898239,-1.59696041432,20.8186508251,0.490000009537,0.0,0.490000009537
10.0,18.7,3.1,180.0,64.0,1.17978052276,0.0,-4.52354869081,21.2879268978,-1.63170484668,20.9297979133,0.490000009537,0.0,0.490000009537
11.0,19.5,3.1,180.0,60.0,1.17560363374,0.0,-4.45623709156,21.6831971318,-1.59687926632,20.9013432718,0.490000009537,0.0,0.490000009537
12.0,20.3,3.1,180.0,56.0,1.17270905008,0.0,-4.33483940326,22.2112198724,-1.59421735801,21.2976936217,0.490000009537,0.0,0.490000009537
13.0,21.2,3.1,180.0,53.0,1.16911757183,0.0,-4.16569661282,22.7262277384,-1.50536561456,21.8645252564,0.490000009537,0.0,0.490000009537
14.0,22.0,3.1,180.0,50.0,1.16609488045,0.0,-3.99613796337,23.2747674859,-1.37675779542,22.4120028344,0.490000009537,0.0,0.490000009537
15.0,21.3,2.8,180.0,54.0,1.16832347714,0.0,-3.81670474974,22.9831350223,-1.25547509118,22.2322260301,0.490000009537,0.0,0.490000009537
16.0,20.7,2.6,180.0,57.0,1.16924202731,0.0,-3.86926944464,22.6679335033,-1.27860040895,21.8981487422,0.490000009537,0.0,0.490000009537
