Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Casal_PMV,Casal_Temp,Circulacao_PMV,Circulacao_Temp,JanelaCasalNorte,PortaCasalOeste,JanelaCasalOeste
16.4,1.9,0.0,74.0,1.18674564357,-4.65072795432,19.5359850552,-1.4693443491,20.9264217149,0.469999998808,0.0,0.449999988079
16.1,2.2,0.0,76.0,1.1890553198,-4.89073929215,21.5014810069,-1.58186471009,22.5342802319,0.460000008345,0.0,0.439999997616
15.7,2.4,0.0,79.0,1.1904801071,-4.32423716056,20.9233036657,-1.28008391073,22.608376576,0.449999988079,0.0,0.430000007153
15.3,2.6,0.0,82.0,1.19193216436,-4.49669902367,21.0496773921,-1.27267134737,22.5915509248,0.449999988079,0.0,0.430000007153
14.9,2.9,0.0,84.0,1.19482527955,-4.4656224434,20.5792816271,-1.28296317689,22.2276694887,0.449999988079,0.0,0.430000007153
14.5,3.1,0.0,88.0,1.19612619231,-4.62064816494,20.2581169673,-1.36363548105,21.9282577556,0.449999988079,0.0,0.430000007153
15.3,3.1,0.0,82.0,1.19314011047,-4.72024542642,20.4980054225,-1.42094796849,21.7252973641,0.460000008345,0.0,0.439999997616
16.2,3.1,0.0,77.0,1.1895195383,-4.65974975592,19.014857895,-1.44395227737,20.1697245993,0.469999998808,0.0,0.449999988079
17.0,3.1,180.0,72.0,1.18651444739,-5.13572360091,20.8827953874,-1.75309319479,21.0205758496,0.40000000596,0.0,0.360000014305
17.8,3.1,180.0,68.0,1.18336180654,-4.594477362,21.149611095,-1.59366807885,20.8200334316,0.40000000596,0.0,0.360000014305
18.7,3.1,180.0,64.0,1.17978052276,-4.5070132986,21.4628228443,-1.63077008149,20.8421390727,0.40000000596,0.0,0.360000014305
19.5,3.1,180.0,60.0,1.17560363374,-4.40071032042,21.8436344255,-1.61086910192,20.8951003326,0.40000000596,0.0,0.360000014305
20.3,3.1,180.0,56.0,1.17270905008,-4.28192677862,22.3628170916,-1.59592978891,21.2987252761,0.40000000596,0.0,0.360000014305
21.2,3.1,180.0,53.0,1.16911757183,-4.11489935105,22.8537428446,-1.50513236122,21.8643447994,0.40000000596,0.0,0.360000014305
22.0,3.1,180.0,50.0,1.16609488045,-3.95221831843,23.339481918,-1.37669233552,22.4102952385,0.40000000596,0.0,0.360000014305
21.3,2.8,180.0,54.0,1.16832347714,-3.79098505995,23.1102065663,-1.25569776805,22.2290798157,0.40000000596,0.0,0.360000014305
20.7,2.6,180.0,57.0,1.16924202731,-3.82642718564,22.845858935,-1.27907873291,21.8963116112,0.40000000596,0.0,0.360000014305
20.0,2.3,180.0,62.0,1.17134432183,-3.88008827921,22.4820022731,-1.3407569149,21.5244804035,0.40000000596,0.0,0.360000014305
19.3,2.0,180.0,67.0,1.17354909808,-3.95651427113,22.0948216736,-1.41215561039,21.1058994104,0.40000000596,0.0,0.360000014305
18.7,1.8,180.0,72.0,1.17533265262,-4.04444756736,22.0908472269,-1.49744944243,21.8634651095,0.40000000596,0.0,0.360000014305
18.0,1.5,270.0,77.0,1.17772183568,-4.02288380795,21.4594527028,-1.35268114824,22.0586045268,0.389999985695,0.0,0.34999999404
17.9,1.6,270.0,77.0,1.17824586609,-4.19200174845,21.2815146134,-1.32222602527,21.7580351112,0.40000000596,0.0,0.34999999404
17.8,1.7,270.0,77.0,1.17876959948,-4.25242784392,21.2605772644,-1.38063741546,21.7253453135,0.40000000596,0.0,0.34999999404
17.7,1.8,270.0,77.0,1.18049101601,-4.26783767156,21.1630683489,-1.3950196626,21.680935095,0.40000000596,0.0,0.34999999404
