Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Jardim_PMV,Jardim_Temp,Sala_PMV,Sala_Temp,Mezanino_PMV,Mezanino_Temp,PortaSalaNorte,JanelaSalaNorte,PortaSalaLeste,JanelaSalaSul,JanelaSalaOeste,PortaCozinhaLeste,JanelaCozinhaSul,JanelaMezaninoNorte,JanelaMezaninoSul,JanelaMezaninoOeste
16.4,1.9,0.0,74.0,1.18674564357,-0.842727403624,20.5801530189,-1.19947947659,19.9483078424,-0.669817436029,19.1861073596,0.0,0.159999996424,0.15000000596,0.159999996424,0.159999996424,0.140000000596,0.159999996424,0.170000001788,0.15000000596,0.140000000596
16.1,2.2,0.0,76.0,1.1890553198,-1.58839295758,21.60657947,-2.25787142804,21.1032391279,-1.91072215335,20.3546807302,0.0,0.129999995232,0.119999997318,0.140000000596,0.140000000596,0.119999997318,0.15000000596,0.140000000596,0.129999995232,0.119999997318
15.7,2.4,0.0,79.0,1.1904801071,-1.44080507985,22.2482483,-2.04089575267,21.8113999391,-1.73184175398,22.0575426015,0.0,0.119999997318,0.109999999404,0.129999995232,0.119999997318,0.109999999404,0.129999995232,0.119999997318,0.109999999404,0.10000000149
15.3,2.6,0.0,82.0,1.19193216436,-1.34429662328,22.130656592,-1.88777084726,22.0129676793,-1.40806931731,21.926590852,0.0,0.119999997318,0.10000000149,0.129999995232,0.119999997318,0.10000000149,0.129999995232,0.119999997318,0.109999999404,0.10000000149
14.9,2.9,0.0,84.0,1.19482527955,-1.38770652977,22.081951026,-1.85263002961,22.3683896709,-1.44693910552,21.6266064256,0.0,0.119999997318,0.10000000149,0.129999995232,0.119999997318,0.10000000149,0.129999995232,0.119999997318,0.10000000149,0.0900000035763
14.5,3.1,0.0,88.0,1.19612619231,-1.42009293035,22.0236437669,-1.79190405748,22.5303157611,-1.52915014733,20.7794943738,0.0,0.119999997318,0.10000000149,0.129999995232,0.119999997318,0.10000000149,0.129999995232,0.119999997318,0.10000000149,0.0900000035763
15.3,3.1,0.0,82.0,1.19314011047,-1.41629950612,22.0782671624,-1.76796795768,22.3291200953,-1.70659691112,20.6158543613,0.0,0.119999997318,0.109999999404,0.129999995232,0.119999997318,0.109999999404,0.140000000596,0.119999997318,0.109999999404,0.10000000149
16.2,3.1,0.0,77.0,1.1895195383,-1.36860211364,21.9578507743,-1.81196058678,21.0933305281,-1.72056215839,18.8589708835,0.0,0.15000000596,0.140000000596,0.15000000596,0.15000000596,0.129999995232,0.159999996424,0.15000000596,0.140000000596,0.129999995232
17.0,3.1,180.0,72.0,1.18651444739,-1.3537381731,21.6726046337,-2.10451075618,20.30251685,-2.06993047497,20.5084470433,0.0,0.509999990463,0.5,0.509999990463,0.5,0.490000009537,0.5,0.490000009537,0.479999989271,0.490000009537
17.8,3.1,180.0,68.0,1.18336180654,-1.3508151433,21.8057412329,-2.24345651975,20.4609656838,-1.65718870933,20.7253604179,0.0,0.519999980927,0.509999990463,0.509999990463,0.509999990463,0.5,0.509999990463,0.5,0.490000009537,0.5
18.7,3.1,180.0,64.0,1.17978052276,-1.27078436141,20.9853060825,-2.18866565121,20.0309383035,-1.53456005942,20.1868704979,0.0,0.52999997139,0.519999980927,0.52999997139,0.519999980927,0.519999980927,0.519999980927,0.509999990463,0.509999990463,0.509999990463
19.5,3.1,180.0,60.0,1.17560363374,-1.35936509451,21.4912483212,-2.26447106937,20.5497679337,-1.56881074191,20.7160725854,0.0,0.52999997139,0.52999997139,0.52999997139,0.519999980927,0.519999980927,0.52999997139,0.519999980927,0.509999990463,0.519999980927
20.3,3.1,180.0,56.0,1.17270905008,-1.24048241484,21.8062644856,-2.15389671569,20.9591932673,-1.41697164002,21.1873397506,0.0,0.540000021458,0.52999997139,0.52999997139,0.52999997139,0.52999997139,0.52999997139,0.519999980927,0.519999980927,0.519999980927
21.2,3.1,180.0,53.0,1.16911757183,-1.1107275322,22.5089566222,-2.02328880725,21.726118341,-1.23505422966,21.9473761037,0.0,0.540000021458,0.52999997139,0.52999997139,0.52999997139,0.52999997139,0.540000021458,0.519999980927,0.519999980927,0.52999997139
22.0,3.1,180.0,50.0,1.16609488045,-0.936346274809,22.9962815474,-1.81783457329,22.3565159913,-1.00453891272,22.5776792915,0.0,0.540000021458,0.540000021458,0.540000021458,0.52999997139,0.540000021458,0.540000021458,0.52999997139,0.52999997139,0.52999997139
21.3,2.8,180.0,54.0,1.16832347714,-0.837602164117,22.8928401443,-1.65492073014,21.9678258918,-0.824032511457,22.4412645895,0.0,0.540000021458,0.52999997139,0.52999997139,0.52999997139,0.52999997139,0.52999997139,0.519999980927,0.519999980927,0.519999980927
20.7,2.6,180.0,57.0,1.16924202731,-0.856000135998,22.5220137437,-1.71156284988,21.5467468758,-0.81978094574,22.0533153924,0.0,0.540000021458,0.52999997139,0.52999997139,0.52999997139,0.52999997139,0.52999997139,0.519999980927,0.519999980927,0.519999980927
20.0,2.3,180.0,62.0,1.17134432183,-0.967011494107,22.0908010933,-1.79289401339,21.0973964424,-0.912353797537,21.6600801961,0.0,0.52999997139,0.519999980927,0.52999997139,0.519999980927,0.519999980927,0.52999997139,0.509999990463,0.509999990463,0.519999980927
19.3,2.0,180.0,67.0,1.17354909808,-1.09546113059,21.7697312242,-1.88264509482,20.8251098298,-1.03253054273,21.3227624507,0.0,0.52999997139,0.519999980927,0.519999980927,0.519999980927,0.519999980927,0.519999980927,0.509999990463,0.509999990463,0.509999990463
18.7,1.8,180.0,72.0,1.17533265262,-1.20779188459,21.6034608659,-1.98461640316,20.7011077521,-1.18714704697,21.086724916,0.0,0.519999980927,0.509999990463,0.519999980927,0.509999990463,0.509999990463,0.519999980927,0.5,0.5,0.5
18.0,1.5,270.0,77.0,1.17772183568,-1.28291940184,21.2941709848,-2.04596465094,20.3999728356,-1.32321559414,20.8979830395,0.0,0.519999980927,0.509999990463,0.509999990463,0.509999990463,0.5,0.509999990463,0.5,0.490000009537,0.5
