Hora,Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Rain_Status,Solteiro_PMV,Solteiro_Temp,Circulacao_PMV,Circulacao_Temp,JanelaCasalNorte,PortaCasalOeste,JanelaCasalOeste
10.0,22.0,1.9,90.0,57.0,1.16390934179,0.0,-4.04667424395,22.9316709345,-1.25249064915,23.4027478132,0.509999990463,0.0,0.5
11.0,23.0,1.8,90.0,53.0,1.15901415221,0.0,-3.8099818555,23.5369448269,-1.00619131935,24.2909971487,0.509999990463,0.0,0.5
12.0,24.0,1.7,90.0,50.0,1.15507819642,0.0,-3.60133542176,24.0301691128,-0.78681198751,24.4145117151,0.509999990463,0.0,0.5
13.0,25.0,1.6,90.0,47.0,1.15123947612,0.0,-3.41554438812,24.3325140834,-0.717696859644,24.7207854709,0.509999990463,0.0,0.5
14.0,26.0,1.5,90.0,45.0,1.14594825246,0.0,-3.28286865178,24.5439477715,-0.614756316039,24.6197315277,0.509999990463,0.0,0.5
15.0,25.2,1.3,90.0,48.0,1.14871682953,0.0,-3.18195245401,24.7389541,-0.598542359222,24.9522127418,0.509999990463,0.0,0.5
16.0,24.3,1.2,90.0,52.0,1.15171219482,0.0,-3.08493680382,24.4661723188,-0.505585428472,24.5009856547,0.509999990463,0.0,0.5
17.0,23.5,1.0,90.0,55.0,1.15466907652,0.0,-3.10431859028,23.8790786177,-0.575826019502,24.094091973,0.509999990463,0.0,0.5
18.0,22.7,0.8,90.0,59.0,1.15737755359,0.0,-3.24826792986,23.248425934,-0.655133724298,23.5648060913,0.509999990463,0.0,0.5
19.0,21.8,0.7,90.0,64.0,1.15921020859,0.0,-3.40365168981,22.7715359688,-0.759716127218,23.805111822,0.509999990463,0.0,0.5
20.0,21.0,0.5,140.0,69.0,1.16183712158,0.0,-3.51514131662,22.2036110802,-0.712948100519,23.5796892352,0.509999990463,0.0,0.5
21.0,20.4,0.5,140.0,71.0,1.16438213633,0.0,-3.66127405386,22.4202655247,-0.757304667129,23.5283937234,0.509999990463,0.0,0.5
22.0,19.8,0.5,140.0,73.0,1.1681449117,0.0,-3.59890310218,21.9346093359,-0.771333178773,23.3518289233,0.509999990463,0.0,0.5
23.0,19.2,0.6,140.0,76.0,1.17048268975,0.0,-3.74950234056,21.5854964075,-0.81632685543,23.0462359487,0.509999990463,0.0,0.5
0.0,18.6,0.6,140.0,79.0,1.17286498826,0.0,-3.86062226857,21.1619032648,-0.885680748641,22.7603647671,0.509999990463,0.0,0.5
1.0,17.9,0.6,140.0,82.0,1.17701797951,0.0,-3.99942688339,20.6503202339,-0.952429614433,22.4026251105,0.509999990463,0.0,0.5
2.0,17.3,0.6,140.0,85.0,1.17948837789,0.0,-4.17609051206,20.2191457459,-1.03892222613,22.0947711921,0.509999990463,0.0,0.5
3.0,16.7,0.7,140.0,87.0,1.18222615513,0.0,-4.3315675626,21.6526130845,-1.11629427782,22.3310738674,0.509999990463,0.0,0.5
4.0,16.1,0.7,140.0,91.0,1.18574851234,0.0,-3.89412909446,19.9302844055,-1.08323004278,22.0234754205,0.509999990463,0.0,0.5
5.0,15.5,0.7,140.0,94.0,1.18833281508,0.0,-4.4314951636,21.0171597645,-1.1613221821,22.1148117266,0.509999990463,0.0,0.5
6.0,17.0,0.8,140.0,86.0,1.18205546787,0.0,-4.12393158092,19.8170436028,-1.142319459,22.0618808229,0.509999990463,0.0,0.5
7.0,18.5,0.9,140.0,79.0,1.17458816384,0.0,-4.51276087437,20.4436664492,-1.14635886516,20.9835635968,0.509999990463,0.0,0.5
8.0,20.0,1.0,140.0,73.0,1.16828648257,0.0,-4.31712344153,21.1863593416,-1.34839320034,21.5838723268,0.509999990463,0.0,0.5
9.0,21.5,1.1,140.0,67.0,1.16220500892,0.0,-4.09333528412,22.3144574765,-1.21328324526,22.5563121517,0.509999990463,0.0,0.5
10.0,23.0,1.2,140.0,62.0,1.15486167784,0.0,-3.73886932305,23.4078083558,-0.996696545401,23.5247172634,0.509999990463,0.0,0.5
11.0,24.5,1.2,140.0,57.0,1.1489150147,0.0,-3.38095995064,24.5961362379,-0.764680240158,24.5791076852,0.509999990463,0.0,0.5
