Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Casal_PMV,Casal_Temp,Circulacao_PMV,Circulacao_Temp,JanelaCasalNorte,PortaCasalOeste,JanelaCasalOeste
16.4,1.9,0.0,74.0,1.18674564357,-4.60754577872,20.3906772825,-1.4693443491,20.9264217149,0.449999988079,0.0,0.449999988079
16.1,2.2,0.0,76.0,1.1890553198,-4.62736903752,20.3019944351,-1.58186471009,22.4935009941,0.449999988079,0.0,0.449999988079
15.7,2.4,0.0,79.0,1.1904801071,-4.65788631495,20.0533070719,-1.28811142671,22.5881734967,0.449999988079,0.0,0.449999988079
15.3,2.6,0.0,82.0,1.19193216436,-4.73960861379,21.4295806684,-1.27654703156,22.5938955118,0.439999997616,0.0,0.449999988079
14.9,2.9,0.0,84.0,1.19482527955,-4.36864136576,20.1420632862,-1.2825336885,22.2279536713,0.449999988079,0.0,0.449999988079
14.5,3.1,0.0,88.0,1.19612619231,-4.74196050335,20.2096233017,-1.36358655618,21.9306970644,0.449999988079,0.0,0.449999988079
15.3,3.1,0.0,82.0,1.19314011047,-4.7019772598,20.2409883415,-1.42044748586,21.7248954399,0.449999988079,0.0,0.449999988079
16.2,3.1,0.0,77.0,1.1895195383,-4.7230203685,19.9684210376,-1.44406545261,20.2010687001,0.449999988079,0.0,0.449999988079
17.0,3.1,180.0,72.0,1.18651444739,-4.81526584697,20.3452325987,-1.74754767047,21.0216146053,0.430000007153,0.0,0.430000007153
17.8,3.1,180.0,68.0,1.18336180654,-4.71789259843,20.5069403885,-1.59320631101,20.8278529104,0.430000007153,0.0,0.430000007153
18.7,3.1,180.0,64.0,1.17978052276,-4.68286917249,20.4780734742,-1.62882871173,20.938519205,0.430000007153,0.0,0.430000007153
19.5,3.1,180.0,60.0,1.17560363374,-4.6858298886,20.909531931,-1.59421578168,20.905195818,0.430000007153,0.0,0.430000007153
20.3,3.1,180.0,56.0,1.17270905008,-4.55885059444,21.5756364259,-1.59249468495,21.3016503873,0.430000007153,0.0,0.430000007153
21.2,3.1,180.0,53.0,1.16911757183,-4.34930816488,22.1849540149,-1.503646671,21.8683631126,0.430000007153,0.0,0.430000007153
22.0,3.1,180.0,50.0,1.16609488045,-4.14818103047,22.765934034,-1.37508554134,22.4150453446,0.430000007153,0.0,0.430000007153
21.3,2.8,180.0,54.0,1.16832347714,-3.96162928766,22.3011934863,-1.25398078937,22.2344119358,0.430000007153,0.0,0.430000007153
20.7,2.6,180.0,57.0,1.16924202731,-4.06021200403,21.8264468805,-1.27730578354,21.9013069438,0.430000007153,0.0,0.430000007153
20.0,2.3,180.0,62.0,1.17134432183,-4.1799686362,21.2554354857,-1.33908414725,21.5290957168,0.430000007153,0.0,0.430000007153
19.3,2.0,180.0,67.0,1.17354909808,-4.3262466103,20.6102157025,-1.41060510609,21.1109221821,0.430000007153,0.0,0.430000007153
18.7,1.8,180.0,72.0,1.17533265262,-4.50435300806,20.5809042303,-1.49586181014,21.8672277904,0.430000007153,0.0,0.430000007153
18.0,1.5,270.0,77.0,1.17772183568,-4.49936713523,20.2146498082,-1.35137426271,22.0489313066,0.430000007153,0.0,0.430000007153
17.9,1.6,270.0,77.0,1.17824586609,-4.61888742748,20.3241658881,-1.32340677253,21.7343946729,0.430000007153,0.0,0.430000007153
17.8,1.7,270.0,77.0,1.17876959948,-4.58567027278,20.1893777405,-1.3848367812,21.6969419352,0.430000007153,0.0,0.430000007153
17.7,1.8,270.0,77.0,1.18049101601,-4.63295082028,20.1234754857,-1.40039455847,21.653549276,0.430000007153,0.0,0.430000007153
17.6,1.9,270.0,77.0,1.18101457565,-4.66403504817,20.0448773125,-1.41814567105,21.6099481847,0.430000007153,0.0,0.430000007153
17.4,2.0,270.0,77.0,1.18206083111,-4.70036950852,21.6296719872,-1.43605943316,22.3314873014,0.430000007153,0.0,0.430000007153
17.3,2.1,270.0,77.0,1.18258353352,-4.26221226942,20.5425986547,-1.30550977081,21.8377976007,0.430000007153,0.0,0.430000007153
17.2,2.2,270.0,77.0,1.18430599606,-4.55532655965,20.5331506314,-1.40682823132,21.7925280398,0.430000007153,0.0,0.430000007153
17.1,2.3,270.0,77.0,1.18482855406,-4.55587160555,21.6760759346,-1.42441513484,22.5517717204,0.430000007153,0.0,0.430000007153
17.0,2.4,270.0,77.0,1.18535083639,-4.23762923522,21.0890882532,-1.28651990689,22.8026786956,0.430000007153,0.0,0.430000007153
18.0,2.3,270.0,73.0,1.1811034955,-4.40801548098,21.961698813,-1.22246276273,22.7358135599,0.430000007153,0.0,0.430000007153
19.0,2.2,270.0,68.0,1.17720895969,-4.13974252707,20.4717697479,-1.2156663638,20.8003396943,0.430000007153,0.0,0.430000007153
20.0,2.1,90.0,64.0,1.17197693047,-4.59248520893,21.6478144121,-1.57994901417,21.1373166416,0.430000007153,0.0,0.439999997616
