Hora,Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Rain_Status,Casal_PMV,Casal_Temp,Circulacao_PMV,Circulacao_Temp,JanelaCasalNorte,PortaCasalOeste,JanelaCasalOeste
0.0,16.4,1.9,0.0,74.0,1.18674564357,0.0,-4.65072795432,19.5359850552,-1.4693443491,20.9264217149,0.449999988079,0.0,0.449999988079
1.0,16.1,2.2,0.0,76.0,1.1890553198,0.0,-4.89073929215,21.2727020476,-1.58186471009,22.4896719155,0.449999988079,0.0,0.439999997616
2.0,15.7,2.4,0.0,79.0,1.1904801071,0.0,-4.39342409564,21.0569921704,-1.28895726797,22.5849706456,0.439999997616,0.0,0.439999997616
3.0,15.3,2.6,0.0,82.0,1.19193216436,0.0,-4.4583221598,21.0731135464,-1.2772318564,22.5941745338,0.439999997616,0.0,0.439999997616
4.0,14.9,2.9,0.0,84.0,1.19482527955,0.0,-4.4592644128,20.618739204,-1.28254193958,22.2325606546,0.439999997616,0.0,0.439999997616
5.0,14.5,3.1,0.0,88.0,1.19612619231,0.0,-4.60910793178,20.2942335871,-1.36268056514,21.9320303416,0.439999997616,0.0,0.439999997616
6.0,15.3,3.1,0.0,82.0,1.19314011047,0.0,-4.70935536602,20.5307499116,-1.42019326142,21.7295167358,0.439999997616,0.0,0.439999997616
7.0,16.2,3.1,0.0,77.0,1.1895195383,0.0,-4.64959910468,19.0503773767,-1.44309994198,20.2106543776,0.449999988079,0.0,0.449999988079
8.0,17.0,3.1,180.0,72.0,1.18651444739,0.0,-5.11982327465,20.9262971083,-1.74560734293,21.0240620265,0.449999988079,0.0,0.439999997616
9.0,17.8,3.1,180.0,68.0,1.18336180654,0.0,-4.57809890036,21.1904752835,-1.59256356715,20.8282079475,0.449999988079,0.0,0.439999997616
10.0,18.7,3.1,180.0,64.0,1.17978052276,0.0,-4.49154948956,21.3677033344,-1.62864814319,20.9371069633,0.449999988079,0.0,0.439999997616
11.0,19.5,3.1,180.0,60.0,1.17560363374,0.0,-4.42505472098,21.7604504841,-1.59440078018,20.9046814051,0.449999988079,0.0,0.439999997616
12.0,20.3,3.1,180.0,56.0,1.17270905008,0.0,-4.30436977366,22.2814112722,-1.59254059647,21.3009672402,0.449999988079,0.0,0.439999997616
13.0,21.2,3.1,180.0,53.0,1.16911757183,0.0,-4.13738014847,22.7848318097,-1.50374382505,21.8676234702,0.449999988079,0.0,0.439999997616
14.0,22.0,3.1,180.0,50.0,1.16609488045,0.0,-3.97141038477,23.3208745163,-1.37520186789,22.4145106569,0.449999988079,0.0,0.439999997616
15.0,21.3,2.8,180.0,54.0,1.16832347714,0.0,-3.79569999671,23.0452277605,-1.25406243803,22.2339817123,0.449999988079,0.0,0.439999997616
16.0,20.7,2.6,180.0,57.0,1.16924202731,0.0,-3.84417829214,22.7487304192,-1.27737391179,21.9005235858,0.449999988079,0.0,0.439999997616
17.0,20.0,2.3,180.0,62.0,1.17134432183,0.0,-3.90756325213,22.3734918895,-1.33923569179,21.5286898456,0.449999988079,0.0,0.439999997616
18.0,19.3,2.0,180.0,67.0,1.17354909808,0.0,-3.98775319302,21.976530301,-1.41068832558,21.1096523771,0.449999988079,0.0,0.439999997616
19.0,18.7,1.8,180.0,72.0,1.17533265262,0.0,-4.07977317758,21.9542671681,-1.49614342211,21.8658476527,0.449999988079,0.0,0.430000007153
20.0,18.0,1.5,270.0,77.0,1.17772183568,0.0,-4.06437826963,21.3199694512,-1.35169002253,22.0431707855,0.449999988079,0.0,0.430000007153
21.0,17.9,1.6,270.0,77.0,1.17824586609,0.0,-4.23573073961,21.1449954433,-1.32455616708,21.7265758052,0.449999988079,0.0,0.430000007153
22.0,17.8,1.7,270.0,77.0,1.17876959948,0.0,-4.29640644091,21.0931668828,-1.38646328589,21.6892944759,0.449999988079,0.0,0.430000007153
23.0,17.7,1.8,270.0,77.0,1.18049101601,0.0,-4.32206390819,21.0160300015,-1.40204412095,21.6458564738,0.449999988079,0.0,0.430000007153
0.0,17.6,1.9,270.0,77.0,1.18101457565,0.0,-4.35761054272,20.9417024242,-1.41984969438,21.6021747284,0.449999988079,0.0,0.439999997616
1.0,17.4,2.0,270.0,77.0,1.18206083111,0.0,-4.39363853859,20.6764221416,-1.43781917687,22.318497061,0.449999988079,0.0,0.439999997616
2.0,17.3,2.1,270.0,77.0,1.18258353352,0.0,-4.49042783913,20.6331341585,-1.30824605758,21.8229392434,0.449999988079,0.0,0.439999997616
