Mes,Dia,Hora,Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Rain_Status,AreaServico_PMV,AreaServico_Temp,Circulacao_PMV,Circulacao_Temp,Casal_PMV,Casal_Temp,Banheiro_PMV,Banheiro_Temp,Jardim_PMV,Jardim_Temp,Solteiro_PMV,Solteiro_Temp,Sala_PMV,Sala_Temp,Mezanino_PMV,Mezanino_Temp,PortaServicoLeste,JanelaServicoSul,JanelaCasalNorte,PortaCasalOeste,JanelaCasalOeste,JanelaBanheiroLeste,PortaBanheiroOeste,JanelaJardimNorte,JanelaJardimLeste,JanelaSolteiroNorte,PortaSolteiroSul,JanelaSolteiroSul,PortaSalaNorte,JanelaSalaNorte,PortaSalaLeste,JanelaSalaSul,JanelaSalaOeste,PortaCozinhaLeste,JanelaCozinhaSul,JanelaMezaninoNorte,JanelaMezaninoSul,JanelaMezaninoOeste,JanelaSegundoSul
1.0,1.0,0.0,16.8,5.4,123.0,91.0,1.13594865305,0.0,-1.45762595626,16.9889769467,-1.49625277948,17.6725750033,-4.72410180706,19.5206573115,-1.79939505795,17.1779962715,-1.16564740347,18.6667737528,-4.65758299191,19.4992968684,-1.5875862984,17.7595493342,-1.20388617136,18.352289162,0.0,0.53,0.74,0.0,0.69,0.15,0.0,1.0,1.0,0.76,0.0,0.43,0.0,0.4,0.23,0.55,0.6,0.38,0.55,0.57,0.52,0.04,0.0
1.0,1.0,1.0,16.5,4.6,135.0,92.0,1.13693420486,0.0,-2.43951334055,17.4418722277,-2.303788156,19.6001443053,-4.92440288862,20.8388496636,-2.5530477481,17.672151213,-2.02180819738,19.1939549722,-4.8885693042,19.5310566083,-2.83390183049,18.3477840496,-2.18623224032,18.3149056616,0.0,0.85,0.4,0.0,0.65,0.79,0.0,1.0,1.0,0.35,0.0,0.72,0.0,0.28,0.75,0.49,0.04,0.11,0.8,0.7,0.94,0.51,0.0
1.0,1.0,2.0,16.6,4.6,143.0,92.0,1.13652950261,0.0,-2.40294630035,17.1849266728,-1.95057904098,20.0433287826,-4.53938525259,20.2685179434,-2.49422096216,18.8776138689,-1.96060049333,19.3112136194,-4.89368628742,20.3527786232,-2.75223664234,18.03496783,-2.2406873891,18.1425996183,0.0,0.4,0.34,0.0,0.55,0.52,0.0,1.0,1.0,0.75,0.0,0.64,0.0,0.59,0.49,0.1,0.9,0.85,0.76,0.55,0.08,0.17,0.0
1.0,1.0,3.0,16.5,3.1,152.0,94.0,1.13720429895,0.0,-2.48768396539,17.5998440417,-1.87618915058,19.8117047188,-4.71320850508,20.8488820823,-2.27956815752,18.1145850562,-1.96984095572,19.5306647977,-4.66037227461,20.9748490483,-2.85921597755,18.254046115,-2.31457815759,18.0488681399,0.0,0.73,0.89,0.0,0.44,0.79,0.0,1.0,1.0,0.78,0.0,0.84,0.0,0.69,0.59,0.6,0.31,0.24,0.75,0.07,0.16,0.56,0.0
1.0,1.0,4.0,16.3,4.8,144.0,94.0,1.13777748519,0.0,-2.4306422267,16.8602211996,-1.93078653788,19.7051597159,-4.5452758607,20.5014954469,-2.43699110134,17.6347589239,-1.95408599393,18.9364096639,-4.47588474659,19.4482352737,-2.83845783686,18.044683367,-2.3583615759,18.3288257249,0.0,0.16,0.15,0.0,0.58,0.36,0.0,1.0,1.0,0.57,0.0,0.8,0.0,0.74,0.18,0.85,0.79,0.75,0.37,0.64,0.1,0.26,0.0
1.0,1.0,5.0,16.4,4.7,146.0,94.0,1.13761150444,0.0,-2.61154427371,17.2045098911,-1.97212377739,18.3834779506,-4.66092390235,19.9884047676,-2.55528969565,18.1606715737,-2.09848845568,18.8031414252,-4.94906147536,20.0684154543,-2.91741036556,17.9939496998,-2.32858028248,18.6408601494,0.0,0.37,0.3,0.0,0.81,0.48,0.0,1.0,1.0,0.26,0.0,0.04,0.0,0.02,0.6,0.69,0.32,0.99,0.53,0.56,0.63,0.46,0.0
1.0,1.0,6.0,17.2,6.8,153.0,93.0,1.13409595106,0.0,-2.55630528606,17.810863515,-2.24637476212,20.0922403909,-4.8240326188,21.8108513156,-2.46488928723,18.1957626189,-2.11666363803,18.7971587469,-4.77973248476,20.5869026619,-2.94240215058,18.0387011011,-2.26299185983,18.1901737255,0.0,0.96,0.25,0.0,0.16,0.84,0.0,1.0,1.0,0.52,0.0,0.86,0.0,0.65,0.28,0.59,0.96,0.29,0.4,0.82,0.02,0.93,0.0
1.0,1.0,7.0,18.2,7.7,140.0,84.0,1.13163049789,0.0,-2.4044660736,18.3964898799,-1.90468307651,19.1184325421,-4.26767159232,21.0735926485,-2.43017334532,18.6174844449,-2.04816578734,20.9030610642,-4.6002697878,21.7924569058,-2.92419844661,18.6220566937,-2.31670568195,18.6188617119,0.0,0.72,0.25,0.0,0.62,0.27,0.0,1.0,1.0,0.3,0.0,0.55,0.0,0.54,0.51,0.94,0.39,0.64,0.4,0.88,0.76,0.88,0.0
1.0,1.0,8.0,19.4,7.9,144.0,75.0,1.12825099097,0.0,-2.28541394018,19.4498858183,-2.09779938321,20.241842942,-4.48641693534,21.6648933472,-2.33864696888,19.4973702951,-1.56323987717,20.0667456572,-4.25317947187,21.1485942462,-2.7878520467,19.6485141988,-2.18959493123,19.5500677664,0.0,0.36,0.1,0.0,0.62,0.61,0.0,1.0,1.0,0.19,0.0,0.76,0.0,0.59,0.53,0.79,0.49,0.61,0.38,0.33,0.21,0.98,0.0
1.0,1.0,9.0,21.6,8.7,133.0,67.0,1.11936580905,0.0,-2.05580022086,21.5533243654,-1.86695859344,21.5445912075,-4.32267646982,22.0192010488,-2.12808498359,21.216888058,-1.63538298272,21.789274313,-4.45630408018,21.998745839,-2.52248380033,21.5451209717,-1.91306655935,21.4035758106,0.0,0.19,0.52,0.0,0.02,0.14,0.0,1.0,1.0,0.73,0.0,0.12,0.0,0.35,0.13,0.73,0.58,0.02,0.43,0.68,0.11,0.54,0.0
