Mes,Dia,Hora,Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Rain_Status,AreaServico_PMV,AreaServico_Temp,Circulacao_PMV,Circulacao_Temp,Casal_PMV,Casal_Temp,Banheiro_PMV,Banheiro_Temp,Jardim_PMV,Jardim_Temp,Solteiro_PMV,Solteiro_Temp,Sala_PMV,Sala_Temp,Mezanino_PMV,Mezanino_Temp,PortaServicoLeste,JanelaServicoSul,JanelaCasalNorte,PortaCasalOeste,JanelaCasalOeste,JanelaBanheiroLeste,PortaBanheiroOeste,JanelaJardimNorte,JanelaJardimLeste,JanelaSolteiroNorte,PortaSolteiroSul,JanelaSolteiroSul,PortaSalaNorte,JanelaSalaNorte,PortaSalaLeste,JanelaSalaSul,JanelaSalaOeste,PortaCozinhaLeste,JanelaCozinhaSul,JanelaMezaninoNorte,JanelaMezaninoSul,JanelaMezaninoOeste,JanelaSegundoSul
1.0,1.0,0.0,16.8,5.4,123.0,91.0,1.13594865305,0.0,-1.45762595626,16.9889769467,-1.49625277948,17.6725750033,-4.72410180706,19.5206573115,-1.79939505795,17.1779962715,-1.16564740347,18.6667737528,-4.65758299191,19.4992968684,-1.5875862984,17.7595493342,-1.20388617136,18.352289162,0.0,0.18,0.2,0.0,0.8,0.82,0.0,1.0,1.0,0.94,0.0,0.9,0.0,0.28,0.29,0.46,1.0,0.26,0.91,0.34,0.12,0.24,0.0
1.0,1.0,1.0,16.5,4.6,135.0,92.0,1.13693420486,0.0,-2.43951334055,17.028046468,-2.303788156,18.7850197202,-4.92440288862,20.686027557,-2.5530477481,17.8674739783,-2.02180819738,19.1509540121,-4.8885693042,20.135617186,-2.83390183049,18.3195630556,-2.18623224032,18.220106215,0.0,0.47,0.55,0.0,0.18,0.63,0.0,1.0,1.0,0.88,0.0,0.98,0.0,0.75,0.67,0.16,0.22,0.87,0.13,0.98,0.48,0.57,0.0
1.0,1.0,2.0,16.6,4.6,143.0,92.0,1.13652950261,0.0,-2.48750297724,17.875341377,-2.11123426826,19.1397402322,-4.58290436612,21.8180927094,-2.45626185836,17.8260125578,-1.96950060914,19.541117134,-4.70788607979,20.2006993893,-2.76174492804,18.0071688411,-2.26315040778,18.4602239111,0.0,0.62,0.17,0.0,0.65,0.22,0.0,1.0,1.0,0.17,0.0,1.0,0.0,0.41,0.5,0.38,0.55,0.75,0.12,0.7,0.08,0.03,0.0
1.0,1.0,3.0,16.5,3.1,152.0,94.0,1.13720429895,0.0,-2.35242983107,17.1046092667,-2.06134388076,19.4907794471,-4.25179944391,19.6990415021,-2.48435250273,18.0423713417,-1.92556125487,19.6209632893,-4.69884550585,19.0316198569,-2.86228358564,19.0920842828,-2.24820331661,18.7096634792,0.0,0.57,0.6,0.0,0.27,0.98,0.0,1.0,1.0,0.33,0.0,0.42,0.0,1.0,0.41,0.92,0.49,0.22,0.99,0.1,0.08,0.9,0.0
1.0,1.0,4.0,16.3,4.8,144.0,94.0,1.13777748519,0.0,-2.52875328907,16.6874392436,-2.00835307257,19.838924852,-4.88193558968,20.2392036055,-2.45716719545,18.1591394528,-1.93079802388,19.331400801,-5.06075903915,19.9804631727,-2.64458167634,18.0787763492,-2.21208621596,18.5731469297,0.0,0.79,0.87,0.0,0.9,0.74,0.0,1.0,1.0,0.5,0.0,0.74,0.0,0.76,0.9,0.71,0.94,0.57,0.69,0.14,0.25,0.58,0.0
1.0,1.0,5.0,16.4,4.7,146.0,94.0,1.13761150444,0.0,-2.64853813301,17.2925911713,-1.95275044103,18.4639804444,-4.74380561233,20.4181463071,-2.45739671745,18.0421504479,-2.01756891085,18.6546744243,-4.80158463158,20.5309288909,-2.89939521006,18.0244763873,-2.26961524906,18.5900206058,0.0,0.87,0.66,0.0,0.63,0.72,0.0,1.0,1.0,0.43,0.0,0.93,0.0,0.29,0.56,0.83,0.85,0.34,0.09,0.59,0.5,0.02,0.0
1.0,1.0,6.0,17.2,6.8,153.0,93.0,1.13409595106,0.0,-2.54124923638,17.4332245038,-2.237307881,18.2690546563,-4.69931886884,19.5362698244,-2.48924517065,18.4686719435,-2.14172364506,18.7845253263,-4.64563555827,19.6382255511,-2.93059762073,17.9849253354,-2.26749987984,18.2785453199,0.0,0.46,0.97,0.0,0.96,0.59,0.0,1.0,1.0,0.29,0.0,0.2,0.0,0.6,0.28,0.9,0.37,0.52,0.87,0.53,0.8,0.91,0.0
1.0,1.0,7.0,18.2,7.7,140.0,84.0,1.13163049789,0.0,-2.48211487895,18.3237758657,-2.27685755219,19.1752927136,-4.96251595967,20.9930396612,-2.3813091013,18.5122218437,-2.05329192096,19.7075317621,-4.91093023515,21.4343165576,-2.93216819623,18.6126352707,-2.29645377644,18.5801639674,0.0,0.21,0.41,0.0,0.35,0.15,0.0,1.0,1.0,0.25,0.0,0.88,0.0,0.98,0.03,0.06,0.67,0.37,0.65,0.94,0.87,0.95,0.0
1.0,1.0,8.0,19.4,7.9,144.0,75.0,1.12825099097,0.0,-2.30578587409,19.4768329123,-2.10193822777,19.7706031859,-4.53326263166,20.5059407454,-2.36264487572,19.519829768,-1.80225438759,20.2924584169,-4.3788896363,20.9758150682,-2.78577656939,19.6034202806,-2.18689139155,19.59460781,0.0,1.0,0.66,0.0,0.03,0.27,0.0,1.0,1.0,0.66,0.0,0.67,0.0,0.16,0.34,0.26,0.67,0.71,0.58,0.21,0.26,0.78,0.0
1.0,1.0,9.0,21.6,8.7,133.0,67.0,1.11936580905,0.0,-2.05579054737,21.4906023198,-1.98140058298,21.478380766,-4.68243157466,21.7990169425,-2.12837295988,21.1066448064,-1.60346258244,21.6422683535,-4.51646731196,21.8410234818,-2.53403521556,21.5393025876,-1.90991634299,21.4315251525,0.0,0.77,0.82,0.0,0.83,0.13,0.0,1.0,1.0,0.6,0.0,0.91,0.0,0.59,0.73,0.18,0.19,0.15,0.74,0.55,0.68,0.12,0.0
1.0,1.0,10.0,21.2,8.9,126.0,67.0,1.1216193279,0.0,-1.62242093027,21.1971093777,-1.61647133326,21.6897269804,-4.2931429922,21.8690050893,-1.75425173827,21.080365082,-1.27084801064,22.3267961901,-4.25116998574,21.8359824477,-2.04037307712,21.4175486597,-1.42759349358,21.4786619692,0.0,0.2,0.28,0.0,0.77,0.63,0.0,1.0,1.0,0.61,0.0,0.44,0.0,0.93,0.06,0.66,0.31,0.87,0.86,0.8,0.15,0.47,0.0
1.0,1.0,11.0,22.0,9.1,127.0,59.0,1.11984156945,0.0,-1.64796324383,21.9583502968,-1.55734638638,22.4788286945,-4.2641985534,22.5475963845,-1.71885423691,21.6763780614,-1.05288525557,22.6385240844,-4.24309352354,22.5864810126,-2.02089093526,22.2002751171,-1.33125600384,22.1574597549,0.0,0.37,0.98,0.0,0.54,0.54,0.0,1.0,1.0,0.72,0.0,0.81,0.0,0.84,0.38,0.27,0.17,0.85,0.8,0.55,0.57,0.51,0.0
1.0,1.0,12.0,23.9,8.6,116.0,54.0,1.11136617253,0.0,-1.49901476798,23.7216099507,-1.40176197068,24.3550555752,-4.08178182473,24.0587669734,-1.59133674979,23.3093762332,-0.925100062184,23.9591107771,-4.03784381776,24.1414378515,-1.84267122329,23.849352896,-1.14675237983,23.7658689433,0.0,0.03,0.28,0.0,0.68,0.71,0.0,1.0,1.0,0.35,0.0,0.27,0.0,0.16,0.17,0.99,0.16,0.45,0.49,0.81,0.69,0.41,0.0
1.0,1.0,13.0,21.0,9.0,113.0,66.0,1.12209146586,0.0,-1.1154845583,21.1726587709,-0.987772266081,22.0828268723,-3.60523133342,22.4336071735,-1.22259518985,21.1746146006,-0.659367209501,22.3961715149,-3.54621512298,22.5361733983,-1.42216368733,21.6604865442,-0.747989088532,21.8788409578,0.0,0.4,0.44,0.0,0.95,0.3,0.0,1.0,1.0,0.77,0.0,0.74,0.0,0.0,0.84,0.71,0.4,0.83,0.63,0.87,0.73,0.95,0.0
1.0,1.0,14.0,20.4,8.3,115.0,66.0,1.12521091085,0.0,-1.57874624162,21.1831627078,-1.40728444483,21.466728407,-4.05280869135,21.835196357,-1.59148858008,20.7591952068,-0.968690606351,22.6582176655,-3.98795049179,21.9813549358,-1.89418197847,20.8579277768,-1.13763087651,21.0646722755,0.0,0.91,0.9,0.0,0.24,0.16,0.0,1.0,1.0,0.41,0.0,0.2,0.0,0.76,0.18,0.14,0.63,0.83,0.65,0.12,0.17,0.43,0.0
1.0,1.0,15.0,20.7,9.1,121.0,67.0,1.12306643634,0.0,-1.59902098153,20.784993542,-1.53691173436,21.2128222148,-4.22497293081,21.6966485826,-1.68096986694,21.0381173446,-0.968767689401,23.919200887,-4.14672041777,21.7467053786,-2.11334267434,20.9982606487,-1.36227904706,21.0323536427,0.0,0.65,0.74,0.0,0.33,0.39,0.0,1.0,1.0,0.69,0.0,0.49,0.0,0.51,0.08,0.71,0.79,0.34,0.3,0.5,0.49,0.11,0.0
1.0,1.0,16.0,18.2,8.7,122.0,82.0,1.13165212228,0.0,-1.68523989909,18.4336584417,-1.58315289854,20.4965089482,-4.25937366873,21.049457944,-1.62711387218,19.9292947316,-0.794438412771,20.423480952,-4.21352654961,21.1962905543,-2.09910324376,19.4957898341,-1.42191015546,20.1069145456,0.0,0.01,0.82,0.0,0.88,0.81,0.0,1.0,1.0,0.95,0.0,0.11,0.0,0.35,0.15,0.88,0.91,0.14,0.25,0.48,0.58,0.74,0.0
1.0,1.0,17.0,18.8,8.9,129.0,74.0,1.13037619147,0.0,-2.14970045481,19.000545588,-1.71667317961,20.4510518446,-4.4268121385,21.0964312347,-1.84532522673,19.6341864009,-1.48697218215,20.5597745759,-4.35755507609,21.156199934,-2.45077476594,19.4118087619,-1.66875461896,19.5196144158,0.0,0.02,0.62,0.0,0.75,0.83,0.0,1.0,1.0,0.38,0.0,0.29,0.0,0.69,0.54,0.83,0.85,0.26,0.98,0.68,0.67,0.57,0.0
1.0,1.0,18.0,17.6,7.5,118.0,77.0,1.13655428582,0.0,-2.10857177001,19.7765336176,-1.7590428525,19.62319372,-4.43387464911,20.4681345671,-1.96065312643,18.3565829986,-1.55751048336,20.0999229001,-4.38975583465,20.4679387525,-2.52698565179,18.6380581579,-1.87429527779,18.8045024577,0.0,0.7,0.83,0.0,0.38,0.2,0.0,1.0,1.0,0.13,0.0,0.59,0.0,0.21,0.34,0.32,0.29,0.0,0.1,0.5,0.27,0.24,0.0
1.0,1.0,19.0,16.7,8.0,122.0,80.0,1.14042990599,0.0,-1.99315831833,18.818958986,-1.9672197274,18.9446976609,-4.6525181369,20.3385950611,-2.26612138567,17.5252837255,-1.72612315792,18.85760391,-4.63373845299,21.0798883779,-2.75558445617,17.758688533,-2.10962389953,18.0039057875,0.0,0.97,0.17,0.0,0.42,0.15,0.0,1.0,1.0,0.33,0.0,0.66,0.0,0.46,0.78,0.07,0.72,0.6,0.91,0.17,0.79,0.54,0.0
1.0,1.0,20.0,16.2,7.9,119.0,79.0,1.14355762078,0.0,-2.21416104662,16.8941003239,-2.12990579897,19.4525610253,-4.71752314123,19.0603060867,-2.48453239778,18.0324261232,-2.03406691152,19.9145133059,-4.47324250133,19.9923918941,-3.00612499601,18.1986848885,-2.34539155858,18.1796166405,0.0,0.85,0.8,0.0,0.55,0.69,0.0,1.0,1.0,0.61,0.0,0.35,0.0,0.63,0.55,0.25,0.44,0.18,0.29,0.98,0.99,0.26,0.0
1.0,1.0,21.0,15.9,7.2,116.0,79.0,1.14543903372,0.0,-2.64591537908,16.3484379223,-2.06657989999,18.4534828193,-5.1446143607,20.7988900369,-2.44700307141,18.202060085,-1.88158098995,19.0535036299,-4.83758362359,20.3640277033,-2.9596463587,17.8602593566,-2.36912626258,18.0067041919,0.0,0.08,0.57,0.0,0.62,0.94,0.0,1.0,1.0,0.07,0.0,0.25,0.0,0.61,0.52,0.22,0.09,0.57,0.03,0.03,0.07,0.44,0.0
1.0,1.0,22.0,15.8,6.1,112.0,83.0,1.14519983624,0.0,-2.80316575085,16.4011448667,-2.29207684447,18.48864833,-4.64995570879,18.6917791384,-2.45848613212,16.751371262,-2.09581247539,18.9224645528,-4.75374684963,19.0031041827,-3.07564946201,17.9480205524,-2.45247221756,18.0008389738,0.0,0.52,0.11,0.0,0.15,0.61,0.0,1.0,1.0,0.18,0.0,0.51,0.0,0.09,0.26,0.05,0.45,0.5,0.49,0.1,0.53,0.74,0.0
