Mes,Dia,Hora,Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Rain_Status,AreaServico_PMV,AreaServico_Temp,Circulacao_PMV,Circulacao_Temp,Casal_PMV,Casal_Temp,Banheiro_PMV,Banheiro_Temp,Jardim_PMV,Jardim_Temp,Solteiro_PMV,Solteiro_Temp,Sala_PMV,Sala_Temp,Mezanino_PMV,Mezanino_Temp,PortaServicoLeste,JanelaServicoSul,JanelaCasalNorte,PortaCasalOeste,JanelaCasalOeste,JanelaBanheiroLeste,PortaBanheiroOeste,JanelaJardimNorte,JanelaJardimLeste,JanelaSolteiroNorte,PortaSolteiroSul,JanelaSolteiroSul,PortaSalaNorte,JanelaSalaNorte,PortaSalaLeste,JanelaSalaSul,JanelaSalaOeste,PortaCozinhaLeste,JanelaCozinhaSul,JanelaMezaninoNorte,JanelaMezaninoSul,JanelaMezaninoOeste,JanelaSegundoSul
1.0,1.0,0.0,16.8,5.4,123.0,91.0,1.13594865305,0.0,-1.45762595626,16.9889769467,-1.49625277948,17.6725750033,-4.72410180706,19.5206573115,-1.79939505795,17.1779962715,-1.16564740347,18.6667737528,-4.65758299191,19.4992968684,-1.5875862984,17.7595493342,-1.20388617136,18.352289162,0.0,0.27,0.0,0.0,0.94,0.79,0.0,1.0,1.0,0.28,0.0,0.76,0.0,0.21,0.76,0.74,0.76,0.28,0.92,0.9,0.36,0.06,0.0
1.0,1.0,1.0,16.5,4.6,135.0,92.0,1.13693420486,0.0,-2.43951334055,16.8904186107,-2.303788156,19.8430976244,-4.92440288862,21.1527838098,-2.5530477481,18.1610478312,-2.02180819738,20.3882223962,-4.8885693042,19.6737202529,-2.83390183049,18.6163686022,-2.18623224032,18.3025442286,0.0,0.94,0.4,0.0,0.02,0.69,0.0,1.0,1.0,0.22,0.0,0.49,0.0,0.44,0.79,0.67,0.63,0.29,0.89,0.42,0.38,0.07,0.0
1.0,1.0,2.0,16.6,4.6,143.0,92.0,1.13652950261,0.0,-2.51504218442,17.5112031102,-1.90177815556,19.9411417363,-4.44541469907,22.6945219121,-2.39785059418,17.722656912,-1.72321784742,19.5797657021,-4.85023156112,20.6531260343,-2.69022868989,17.9674394418,-2.24163621228,18.0819737999,0.0,0.52,0.82,0.0,0.88,0.43,0.0,1.0,1.0,0.81,0.0,0.88,0.0,0.07,0.81,0.73,0.39,0.75,0.81,0.09,0.38,0.95,0.0
1.0,1.0,3.0,16.5,3.1,152.0,94.0,1.13720429895,0.0,-2.42627893232,17.2039311415,-1.89382606684,19.1837959657,-3.98965577772,21.3289683863,-2.50108919593,18.4798319616,-1.90675525342,19.1605179717,-4.563151824,21.8762064958,-2.86993639658,18.0280508049,-2.32464962963,18.2902408221,0.0,0.38,0.78,0.0,0.23,0.34,0.0,1.0,1.0,0.1,0.0,0.31,0.0,0.28,0.38,0.67,0.94,0.36,0.07,0.82,0.86,0.38,0.0
1.0,1.0,4.0,16.3,4.8,144.0,94.0,1.13777748519,0.0,-2.51127787469,17.0515244946,-2.0530673786,18.3579355213,-4.38083695846,19.8519143789,-2.36814417684,18.298686984,-2.01900575398,20.2345365486,-4.19972859829,19.6425210819,-2.88463178923,17.9946872244,-2.30667389315,18.3068949685,0.0,0.41,0.58,0.0,0.73,0.34,0.0,1.0,1.0,0.18,0.0,0.18,0.0,0.82,0.85,0.57,0.77,0.22,0.27,0.69,0.35,0.48,0.0
1.0,1.0,5.0,16.4,4.7,146.0,94.0,1.13761150444,0.0,-2.57659326103,16.982339062,-2.2414389775,19.9176966094,-4.8372591103,19.7805271992,-2.42442844361,17.9347291003,-1.83654838465,19.171791741,-4.8766938813,21.6281556194,-2.92439068557,17.9939336783,-2.32840040165,18.0218556719,0.0,0.84,0.33,0.0,0.38,0.72,0.0,1.0,1.0,0.68,0.0,0.84,0.0,0.2,0.54,0.12,0.3,0.52,0.26,0.22,0.61,0.32,0.0
1.0,1.0,6.0,17.2,6.8,153.0,93.0,1.13409595106,0.0,-2.6033874741,17.5385577943,-1.94988313455,19.8466721799,-4.87112681198,20.1506021398,-2.50399990354,18.2180488717,-2.03145537014,18.845051531,-4.29345873464,21.3096824299,-2.94739235531,18.1385217843,-2.39371000103,18.1459738048,0.0,0.51,0.91,0.0,0.5,0.67,0.0,1.0,1.0,0.23,0.0,0.47,0.0,0.71,0.39,0.21,0.33,0.56,0.56,0.55,0.09,0.91,0.0
1.0,1.0,7.0,18.2,7.7,140.0,84.0,1.13163049789,0.0,-2.46303494984,18.3201377488,-1.9535628066,18.8624051281,-4.74555126002,20.5765977456,-2.42379407998,18.5624647027,-2.03343430667,20.0412387946,-4.36279220209,20.2349894266,-2.90766272566,18.8054066329,-2.33515762581,18.698121306,0.0,0.44,0.77,0.0,0.83,0.75,0.0,1.0,1.0,0.26,0.0,0.37,0.0,0.01,0.12,0.02,0.22,0.31,0.53,0.68,0.21,0.09,0.0
1.0,1.0,8.0,19.4,7.9,144.0,75.0,1.12825099097,0.0,-2.3062112927,19.4597637098,-2.14093755406,20.2647189811,-4.63280197707,21.0464492726,-2.34866669569,19.5073175563,-1.72469160999,20.1659338692,-4.69231494495,21.5800644386,-2.74222989198,19.6913681134,-2.16756151573,19.6208211404,0.0,0.53,0.16,0.0,0.36,0.73,0.0,1.0,1.0,0.2,0.0,0.81,0.0,0.19,0.62,0.79,0.28,0.39,0.49,0.59,0.89,0.5,0.0
1.0,1.0,9.0,21.6,8.7,133.0,67.0,1.11936580905,0.0,-2.0584326395,21.5333345414,-1.86017306682,21.4839923578,-4.51392217013,21.7930797949,-2.12605493151,21.3562510842,-1.60891593049,22.4572450947,-4.3146211327,21.9962572706,-2.50759898424,21.5260242924,-1.89423698536,21.377299514,0.0,0.07,0.82,0.0,0.47,0.76,0.0,1.0,1.0,0.22,0.0,0.97,0.0,0.15,0.1,0.23,0.81,0.72,0.42,0.12,0.03,0.7,0.0
1.0,1.0,10.0,21.2,8.9,126.0,67.0,1.1216193279,0.0,-1.61319462809,21.1974157595,-1.59716667414,21.6139289528,-4.27867689095,21.9288959943,-1.70172413677,21.1303679036,-1.10381429228,22.2537818353,-4.17647316464,21.9111110625,-2.04033656576,21.391795918,-1.43521648407,21.3922361054,0.0,0.48,0.91,0.0,0.83,0.07,0.0,1.0,1.0,0.92,0.0,0.97,0.0,0.24,0.79,0.52,0.71,0.28,0.88,0.14,0.86,0.15,0.0
1.0,1.0,11.0,22.0,9.1,127.0,59.0,1.11984156945,0.0,-1.64664314147,21.9846277875,-1.55611352637,22.6253224758,-4.23089426602,22.6062705795,-1.70457145407,21.8452718036,-1.05401353752,23.0966251611,-4.19235611356,22.6942753874,-2.02674778504,22.2201670892,-1.35079866993,22.2882813455,0.0,0.94,0.73,0.0,0.46,0.73,0.0,1.0,1.0,0.68,0.0,0.01,0.0,0.01,0.7,0.74,0.12,1.0,0.38,0.84,0.24,0.1,0.0
1.0,1.0,12.0,23.9,8.6,116.0,54.0,1.11136617253,0.0,-1.49040379382,23.5524631488,-1.3575262582,24.2806076193,-4.04780294881,23.9772560142,-1.55605749133,22.8944224737,-0.822414897121,24.1952685141,-3.97705728691,24.0780527689,-1.83522681213,23.9103556036,-1.11749005114,23.8205473538,0.0,0.33,0.62,0.0,0.57,0.36,0.0,1.0,1.0,0.66,0.0,0.17,0.0,0.82,0.95,0.55,0.13,0.68,0.03,0.55,0.81,0.73,0.0
1.0,1.0,13.0,21.0,9.0,113.0,66.0,1.12209146586,0.0,-1.14842906381,21.0615066251,-0.990169066685,22.02363892,-3.61633704286,22.4295981081,-1.30055287236,21.1007641504,-0.601954032927,24.175837357,-3.54111203443,22.7239038541,-1.40586970222,21.5970025753,-0.735362126323,21.9217322377,0.0,0.23,0.95,0.0,0.69,0.51,0.0,1.0,1.0,0.44,0.0,0.13,0.0,0.03,0.39,0.15,0.33,0.35,0.27,0.9,0.97,0.68,0.0
1.0,1.0,14.0,20.4,8.3,115.0,66.0,1.12521091085,0.0,-1.59926331312,20.5728018405,-1.40748637508,21.1218996373,-4.04150897859,21.6315724753,-1.60276273718,20.7918296333,-0.611317846845,21.9079515503,-3.90965174624,21.8754619567,-1.90399491457,21.1052752112,-1.13137453035,21.1699265978,0.0,0.59,0.28,0.0,0.07,0.83,0.0,1.0,1.0,0.61,0.0,0.66,0.0,0.29,0.66,0.19,0.8,0.45,0.31,0.05,0.38,0.37,0.0
1.0,1.0,15.0,20.7,9.1,121.0,67.0,1.12306643634,0.0,-1.72004731671,20.8451885833,-1.59619996071,21.2231291171,-4.27620429403,21.5404319831,-1.67214458637,20.9700599153,-1.09660310925,23.4845969833,-4.15802568659,21.7968313891,-2.05638667834,21.130568078,-1.33853586502,21.1023394799,0.0,0.74,0.59,0.0,0.04,0.32,0.0,1.0,1.0,0.16,0.0,0.24,0.0,0.62,0.83,0.89,0.29,0.35,0.53,0.51,0.07,0.41,0.0
