Mes,Dia,Hora,Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Rain_Status,AreaServico_PMV,AreaServico_Temp,Circulacao_PMV,Circulacao_Temp,Casal_PMV,Casal_Temp,Banheiro_PMV,Banheiro_Temp,Jardim_PMV,Jardim_Temp,Solteiro_PMV,Solteiro_Temp,Sala_PMV,Sala_Temp,Mezanino_PMV,Mezanino_Temp,PortaServicoLeste,JanelaServicoSul,JanelaCasalNorte,PortaCasalOeste,JanelaCasalOeste,JanelaBanheiroLeste,PortaBanheiroOeste,JanelaJardimNorte,JanelaJardimLeste,JanelaSolteiroNorte,PortaSolteiroSul,JanelaSolteiroSul,PortaSalaNorte,JanelaSalaNorte,PortaSalaLeste,JanelaSalaSul,JanelaSalaOeste,PortaCozinhaLeste,JanelaCozinhaSul,JanelaMezaninoNorte,JanelaMezaninoSul,JanelaMezaninoOeste,JanelaSegundoSul
1.0,1.0,0.0,16.8,5.4,123.0,91.0,1.13594865305,0.0,-1.45762595626,16.9889769467,-1.49625277948,17.6725750033,-4.72410180706,19.5206573115,-1.79939505795,17.1779962715,-1.16564740347,18.6667737528,-4.65758299191,19.4992968684,-1.5875862984,17.7595493342,-1.20388617136,18.352289162,0.0,0.47,0.04,0.0,0.18,0.09,0.0,1.0,1.0,0.61,0.0,0.77,0.0,0.66,0.8,0.68,0.64,0.49,0.21,0.82,0.63,0.82,0.0
1.0,1.0,1.0,16.5,4.6,135.0,92.0,1.13693420486,0.0,-2.43951334055,17.1321715955,-2.303788156,18.8846488061,-4.92440288862,20.4711870781,-2.5530477481,17.9268825443,-2.02180819738,19.6255723768,-4.8885693042,21.2149900191,-2.83390183049,17.975243316,-2.18623224032,18.1134329448,0.0,0.8,0.25,0.0,0.1,0.95,0.0,1.0,1.0,0.99,0.0,0.58,0.0,0.89,0.48,0.73,0.44,0.39,0.32,0.95,0.66,0.4,0.0
1.0,1.0,2.0,16.6,4.6,143.0,92.0,1.13652950261,0.0,-2.46666101056,17.1676441086,-2.0916189479,20.0885362085,-4.64900714515,22.3391826464,-2.44463145377,19.1408263911,-1.87816516887,18.9825416791,-4.38258682202,19.4489295705,-2.84002735077,18.1114771621,-2.28733166804,18.0434796119,0.0,0.94,0.3,0.0,0.52,0.81,0.0,1.0,1.0,0.37,0.0,0.97,0.0,0.57,0.92,0.85,0.19,0.81,0.6,0.09,0.94,0.56,0.0
1.0,1.0,3.0,16.5,3.1,152.0,94.0,1.13720429895,0.0,-2.49535284902,17.0505885596,-1.87290465955,19.8437900192,-4.10005381894,21.2573729144,-2.22660726278,17.9245046582,-2.03124735902,18.9001652071,-4.91649427699,19.4842958644,-2.84653801159,18.1680811751,-2.33703088773,18.1422065143,0.0,0.33,0.14,0.0,0.85,0.48,0.0,1.0,1.0,0.2,0.0,0.06,0.0,0.38,0.42,0.18,0.5,0.59,0.32,0.06,0.83,0.84,0.0
1.0,1.0,4.0,16.3,4.8,144.0,94.0,1.13777748519,0.0,-2.54559054654,16.9408375804,-1.93053953397,18.3938739025,-4.40826507041,20.3289668102,-2.47025370484,19.1019105411,-2.07928488715,18.9745185079,-4.92047054506,20.0279737367,-2.86178363691,18.0449728367,-2.34263296708,18.022530927,0.0,0.94,0.29,0.0,0.25,0.84,0.0,1.0,1.0,0.29,0.0,0.25,0.0,0.25,0.85,0.61,0.01,0.87,0.42,0.87,0.1,0.42,0.0
1.0,1.0,5.0,16.4,4.7,146.0,94.0,1.13761150444,0.0,-2.60228841424,17.3090328839,-2.23615526769,19.0915792329,-4.70221471895,20.9875193922,-2.26533826139,18.2807943738,-2.0948160499,19.5449006456,-4.78394526132,21.2382786104,-2.92272587476,18.7896236737,-2.39403614075,17.9823386033,0.0,0.34,0.99,0.0,0.52,0.93,0.0,1.0,1.0,0.52,0.0,0.49,0.0,0.87,0.01,0.35,0.53,0.56,0.78,0.53,0.69,0.85,0.0
1.0,1.0,6.0,17.2,6.8,153.0,93.0,1.13409595106,0.0,-2.53998133394,17.3323644667,-2.11257196975,19.7333478668,-4.50985742126,20.6561963168,-2.43053248631,17.8524259276,-1.96754849472,19.4060145814,-4.42242455406,20.4866641256,-2.77381766082,18.0122307608,-2.40470172125,18.2904974414,0.0,0.45,0.74,0.0,0.16,0.97,0.0,1.0,1.0,0.62,0.0,0.5,0.0,0.17,0.37,0.47,0.71,0.75,0.17,0.47,0.2,0.2,0.0
1.0,1.0,7.0,18.2,7.7,140.0,84.0,1.13163049789,0.0,-2.50393630426,18.4123340268,-1.97838374241,19.1288472367,-4.58490207574,20.5786996839,-2.48741297016,18.5025689361,-1.92724881084,19.3209471089,-4.61850809113,21.1784893413,-2.92993942372,18.6862996672,-2.30930945807,18.6327740302,0.0,0.53,0.86,0.0,0.09,0.9,0.0,1.0,1.0,0.25,0.0,0.05,0.0,0.31,0.92,0.15,0.43,0.45,0.66,0.36,0.1,0.86,0.0
1.0,1.0,8.0,19.4,7.9,144.0,75.0,1.12825099097,0.0,-2.28958448538,19.4656137205,-2.10149728942,19.950499202,-4.62563273756,21.3028756102,-2.35568796402,19.4948946084,-1.87989066859,20.7690345709,-4.42763347382,21.4385196769,-2.77427900386,19.6846207249,-2.19174817003,19.5987222026,0.0,0.02,0.42,0.0,0.73,0.49,0.0,1.0,1.0,0.47,0.0,1.0,0.0,0.94,0.13,0.93,0.25,0.29,0.83,0.87,0.15,0.52,0.0
1.0,1.0,9.0,21.6,8.7,133.0,67.0,1.11936580905,0.0,-2.05834169184,21.532401122,-1.92901621918,21.4152621138,-4.42546997901,21.8647921959,-2.1245642902,21.4057168756,-1.501994523,21.9142575175,-4.36287436523,21.99456191,-2.51163420176,21.5197027864,-1.90561531257,21.3463697372,0.0,0.06,0.57,0.0,0.9,0.88,0.0,1.0,1.0,0.35,0.0,0.46,0.0,0.33,0.41,0.59,0.4,0.92,0.91,0.91,0.77,0.49,0.0
1.0,1.0,10.0,21.2,8.9,126.0,67.0,1.1216193279,0.0,-1.61476759471,21.3000236679,-1.61712000322,21.6648360343,-4.24571753677,21.8134280615,-1.68828661172,21.1204753207,-1.21597707203,21.7343414981,-4.18376795781,21.8215569017,-2.04385320837,21.3220567336,-1.44503397398,21.3727236855,0.0,0.27,0.99,0.0,0.81,0.4,0.0,1.0,1.0,0.83,0.0,0.98,0.0,0.13,0.95,0.36,0.17,0.57,0.65,0.13,0.01,0.75,0.0
1.0,1.0,11.0,22.0,9.1,127.0,59.0,1.11984156945,0.0,-1.62714086895,21.9583252103,-1.55242143894,22.4748706257,-4.25449931666,22.5235111469,-1.70236913547,21.8839437322,-1.1672588886,22.7543105276,-4.22589107409,22.6265294579,-2.0451820854,22.1359310984,-1.35874695023,22.0967961279,0.0,0.89,0.66,0.0,0.61,0.79,0.0,1.0,1.0,0.53,0.0,0.16,0.0,0.62,0.26,0.69,0.99,0.34,0.14,0.96,0.84,0.43,0.0
1.0,1.0,12.0,23.9,8.6,116.0,54.0,1.11136617253,0.0,-1.49688243143,23.5121599748,-1.39368204523,24.233976052,-4.06533865593,23.9853224745,-1.54523744013,23.3339339111,-0.905260914222,24.2371430262,-4.00609175944,24.0438672097,-1.86062846979,23.9059687295,-1.16464353444,23.7772702708,0.0,0.94,0.63,0.0,0.68,0.05,0.0,1.0,1.0,0.62,0.0,0.97,0.0,0.03,0.33,0.23,0.47,0.9,0.31,0.57,0.48,0.65,0.0
1.0,1.0,13.0,21.0,9.0,113.0,66.0,1.12209146586,0.0,-1.15687621392,21.0990923134,-1.00526550711,22.1563426982,-3.60649522234,22.4771144931,-1.20945915748,21.1598262089,-0.606631394046,22.3856096834,-3.55907615442,22.6803616539,-1.41030008458,21.5403334351,-0.748451392066,21.7431426034,0.0,0.17,0.15,0.0,0.04,0.16,0.0,1.0,1.0,0.49,0.0,0.11,0.0,0.98,0.95,0.16,0.14,0.61,0.66,0.88,0.87,0.09,0.0
1.0,1.0,14.0,20.4,8.3,115.0,66.0,1.12521091085,0.0,-1.59521037215,20.4812535011,-1.38706432609,21.3990837907,-4.02027113255,21.950141142,-1.58644233065,21.5780608282,-0.969088312378,23.6790923177,-3.93023810327,21.9322440338,-1.92233981489,21.0277535508,-1.16952434485,21.2511006402,0.0,0.2,0.95,0.0,0.27,0.4,0.0,1.0,1.0,0.48,0.0,0.02,0.0,0.87,0.53,0.56,0.14,0.91,0.47,0.52,0.44,0.43,0.0
1.0,1.0,15.0,20.7,9.1,121.0,67.0,1.12306643634,0.0,-1.74002139362,20.8708357774,-1.54480674858,21.1886066573,-4.17146918265,22.1414649065,-1.51336388281,21.188133195,-0.763985555411,21.648272661,-4.14771016558,22.0601282538,-2.07426490498,21.1591006765,-1.3254734264,21.1441073621,0.0,0.8,0.96,0.0,0.47,0.46,0.0,1.0,1.0,0.46,0.0,0.53,0.0,0.75,0.8,0.44,0.64,0.73,0.33,0.04,0.79,0.32,0.0
1.0,1.0,16.0,18.2,8.7,122.0,82.0,1.13165212228,0.0,-1.67455396482,18.6686173737,-1.58199411802,21.0608450607,-4.10814282766,20.5014217423,-1.58834840229,18.9869277091,-1.22822679137,20.1601418392,-4.10617755117,21.0271611806,-2.06673912197,19.2536054309,-1.39990440316,19.3989535016,0.0,0.73,0.74,0.0,0.9,0.48,0.0,1.0,1.0,0.3,0.0,0.34,0.0,0.1,0.89,0.01,0.35,0.55,0.5,0.03,0.2,0.68,0.0
1.0,1.0,17.0,18.8,8.9,129.0,74.0,1.13037619147,0.0,-2.10686235149,19.0829782071,-1.60527670012,20.2814721209,-4.56205814268,20.8457871769,-2.01836450676,19.7073174223,-1.53950518659,20.7135248587,-4.38271714852,20.8939368549,-2.50657956482,19.9607267762,-1.81125754437,19.9783828781,0.0,0.65,0.35,0.0,0.36,0.33,0.0,1.0,1.0,0.26,0.0,0.75,0.0,0.75,0.84,0.1,0.83,0.6,0.93,0.2,0.96,0.05,0.0
1.0,1.0,18.0,17.6,7.5,118.0,77.0,1.13655428582,0.0,-2.0931589969,18.1514936483,-1.78622943593,20.0804235779,-4.49423562429,20.6959919728,-1.94380774577,18.6359774053,-1.52547128659,21.6513669401,-4.45463655411,21.1106959594,-2.40001201524,19.8541740328,-1.78392885697,20.4606428449,0.0,0.75,0.26,0.0,0.6,0.22,0.0,1.0,1.0,0.93,0.0,0.39,0.0,0.71,0.9,0.13,0.32,0.13,0.03,0.82,0.55,0.2,0.0
1.0,1.0,19.0,16.7,8.0,122.0,80.0,1.14042990599,0.0,-2.32407281034,17.1374617832,-1.85943664769,19.0479978403,-4.56686358966,20.5644143585,-2.2069764203,18.2007439901,-1.40650769463,19.2748816156,-4.41739674047,20.479798134,-2.4564799773,18.2614551736,-1.73836019567,18.198479835,0.0,0.94,0.89,0.0,0.48,0.12,0.0,1.0,1.0,0.27,0.0,0.24,0.0,0.24,0.91,0.28,0.16,0.94,0.58,0.86,0.74,0.59,0.0
1.0,1.0,20.0,16.2,7.9,119.0,79.0,1.14355762078,0.0,-2.56659201007,16.7209412856,-2.10151669973,18.9305424269,-4.63723126341,18.9116163312,-2.34526572385,17.9079257134,-1.93562865344,19.4539499666,-4.64245269438,18.4393965847,-2.87513143631,18.5662325811,-2.28391450193,18.113332689,0.0,0.99,0.43,0.0,0.36,0.06,0.0,1.0,1.0,0.96,0.0,0.46,0.0,0.87,0.6,0.46,0.57,0.08,0.41,0.84,0.12,0.86,0.0
1.0,1.0,21.0,15.9,7.2,116.0,79.0,1.14543903372,0.0,-2.70396007521,16.1540596753,-2.16733297408,19.2432947133,-5.18117505544,18.7907865185,-2.46299964406,18.337796755,-1.96197372072,19.3698836287,-5.30988997605,19.6212252726,-2.86458471356,17.5206542453,-2.3722280969,18.0334866487,0.0,0.33,0.51,0.0,0.4,0.06,0.0,1.0,1.0,0.02,0.0,0.06,0.0,0.21,0.97,0.97,0.93,0.15,0.28,0.16,0.47,0.65,0.0
1.0,1.0,22.0,15.8,6.1,112.0,83.0,1.14519983624,0.0,-2.85962951961,16.7228539669,-2.13321638458,19.0848800839,-5.25804873959,19.3077596567,-2.42538981929,18.904679183,-2.02728471202,18.6807207592,-4.99299095472,18.48469619,-3.13861523472,17.7595316578,-2.44101601866,18.0010954434,0.0,0.17,0.54,0.0,0.37,0.56,0.0,1.0,1.0,0.51,0.0,0.28,0.0,0.24,0.02,0.84,0.15,0.79,0.16,0.77,0.31,0.06,0.0
1.0,1.0,23.0,15.6,6.1,115.0,85.0,1.14555281469,0.0,-2.76470682508,16.7644681506,-2.17353571056,18.5982788281,-5.10785065077,20.6182677666,-2.3343966776,18.7815634874,-2.19105480746,19.3492922296,-5.34136094621,22.1492344164,-3.10563964332,17.7204947167,-2.47077915881,17.9953778253,0.0,0.16,0.88,0.0,0.66,0.5,0.0,1.0,1.0,0.51,0.0,0.19,0.0,0.96,0.86,0.54,0.68,0.25,0.71,0.81,0.29,0.62,0.0
1.0,2.0,0.0,15.6,5.7,117.0,86.0,1.14473558579,0.0,-2.77593414639,16.6618899595,-2.28157158991,18.5773160353,-4.72535340072,20.1036289101,-2.37848135786,16.7182274148,-2.08445214543,18.9081189579,-4.26515477322,19.9486756103,-3.13167296526,17.3574701398,-2.49156478679,18.0312303548,0.0,0.05,0.09,0.0,0.17,0.58,0.0,1.0,1.0,0.49,0.0,0.48,0.0,0.12,0.51,0.55,0.37,0.02,0.67,0.18,0.26,0.02,0.0
1.0,2.0,1.0,15.3,5.4,117.0,86.0,1.14567329824,0.0,-2.8161694392,16.4695751032,-2.30629700698,18.5709040404,-4.88006077521,18.3124625567,-2.80034922967,16.6423350836,-2.19951299092,17.8259113961,-4.9090467344,19.1011506709,-3.23398255053,17.0324631786,-2.50750277755,17.8764269518,0.0,0.11,0.16,0.0,0.22,0.36,0.0,1.0,1.0,0.73,0.0,0.19,0.0,0.64,0.17,0.97,0.96,0.8,0.31,0.24,0.73,0.32,0.0
1.0,2.0,2.0,15.1,5.0,125.0,86.0,1.14633653566,0.0,-2.88580233474,17.7843529431,-2.33425175583,17.9790273811,-5.44827074892,21.097654474,-2.85668714011,16.6356943823,-2.45382389047,19.2428939694,-5.19460163097,20.1404339019,-3.34583311182,17.3580473116,-2.57105954385,17.9634012998,0.0,0.94,0.88,0.0,0.56,0.76,0.0,1.0,1.0,0.93,0.0,0.12,0.0,0.36,0.09,0.93,0.74,0.51,0.38,0.84,0.95,0.69,0.0
1.0,2.0,3.0,15.1,5.7,129.0,87.0,1.14576641712,0.0,-2.64885975422,16.5863865923,-2.4719090129,17.9250900683,-4.6424648683,20.7314153645,-2.89351580604,16.7504502367,-2.20942804849,17.8603325642,-4.90911693087,19.4950392762,-3.30103671887,16.9749734685,-2.57705527845,17.9115936859,0.0,0.56,0.18,0.0,0.17,0.69,0.0,1.0,1.0,0.82,0.0,0.74,0.0,0.37,0.58,0.52,0.65,0.08,0.46,0.29,0.68,0.57,0.0
1.0,2.0,4.0,15.1,5.0,129.0,86.0,1.14633653566,0.0,-2.89623500459,15.426932431,-2.50216184487,17.8494349137,-4.75498915973,18.8753678479,-2.89227367375,16.2324567798,-2.50569438892,17.7782982255,-5.11448454151,18.9179737875,-3.40784605563,16.4146044807,-2.60820852982,17.0477109246,0.0,0.04,0.88,0.0,0.04,0.25,0.0,1.0,1.0,0.21,0.0,0.34,0.0,0.48,0.77,0.42,0.46,0.41,0.86,0.15,0.7,0.04,0.0
1.0,2.0,5.0,15.0,6.6,128.0,85.0,1.14705512831,0.0,-3.15645844995,15.8608477467,-2.54195742265,17.161676069,-5.32905887174,20.3086033386,-3.02095875073,15.9866883794,-2.55891604017,17.8667577919,-5.31322124836,19.0629114556,-3.57226467995,16.7927857147,-2.82091051545,17.2663753671,0.0,0.49,0.47,0.0,0.67,0.77,0.0,1.0,1.0,0.89,0.0,0.29,0.0,0.43,0.02,0.69,0.73,0.49,0.42,0.04,0.5,0.05,0.0
1.0,2.0,6.0,15.6,6.0,124.0,83.0,1.14477389027,0.0,-3.09822642427,17.4999213762,-2.69658427558,17.8405070587,-4.93120292179,19.0379062385,-3.09755367841,17.0883868569,-2.54501910665,18.2255076264,-5.30335630844,19.5356709541,-3.51319517974,17.5006579086,-2.78413650838,17.821084203,0.0,0.87,0.53,0.0,0.0,0.87,0.0,1.0,1.0,0.26,0.0,0.98,0.0,0.21,0.88,0.96,0.23,0.83,0.15,0.93,0.75,0.78,0.0
1.0,2.0,7.0,16.5,6.6,118.0,78.0,1.14165972539,0.0,-2.76523273107,17.0046873111,-2.56829576518,17.883987299,-5.31821288587,19.6632626925,-2.88543777633,16.9565558263,-2.44094885367,18.6783819018,-5.17167559758,19.3048552055,-3.35049161927,17.9660063821,-2.65005433202,18.3078957927,0.0,0.55,0.0,0.0,0.03,0.06,0.0,1.0,1.0,0.22,0.0,0.9,0.0,0.75,0.5,0.29,0.38,0.99,0.73,0.49,0.93,0.48,0.0
1.0,2.0,8.0,17.5,8.5,121.0,73.0,1.13802141915,0.0,-2.83703771383,17.5639071679,-2.5628435401,18.6838093964,-5.14558189516,19.7277611044,-2.89730599857,17.6852190973,-2.28285657062,19.1784864045,-5.24933522718,19.3485677333,-3.22529031473,17.9706270282,-2.50004818918,18.0402697604,0.0,0.71,0.29,0.0,0.7,0.86,0.0,1.0,1.0,0.19,0.0,0.18,0.0,0.9,0.46,0.73,0.08,0.63,0.16,0.7,0.74,0.57,0.0
1.0,2.0,9.0,18.5,7.8,115.0,69.0,1.13400461359,0.0,-2.70663507115,18.5552143666,-2.40340216257,19.4673608252,-5.13327998987,21.719442521,-2.73077859518,18.8123824967,-2.11833478199,19.3242945476,-5.24534500751,20.8322198467,-3.20337846222,18.8343626785,-2.50796359178,18.7456742587,0.0,0.93,0.67,0.0,0.66,0.04,0.0,1.0,1.0,0.93,0.0,0.94,0.0,0.66,0.49,0.61,0.13,0.78,0.29,0.93,0.38,0.44,0.0
1.0,2.0,10.0,19.8,7.5,103.0,57.0,1.13055537422,0.0,-2.46896122791,19.7886373558,-2.2286472166,20.2149199865,-4.53696078464,20.7530935153,-2.46243442565,19.7626849737,-1.98556117305,20.3469815906,-4.79064299427,20.9037974692,-2.9537725977,20.0100602063,-2.27182830685,19.933624102,0.0,0.78,0.16,0.0,0.65,0.11,0.0,1.0,1.0,0.8,0.0,0.07,0.0,0.66,0.27,0.98,0.84,0.51,0.43,0.79,0.74,0.49,0.0
1.0,2.0,11.0,20.5,7.3,119.0,56.0,1.12709910037,0.0,-2.23037762439,20.4818581564,-2.09106253877,20.910036,-4.84064483954,21.2336582881,-2.26559515514,20.2164437199,-1.72747323352,21.1414858945,-4.78948040375,21.2010353864,-2.67454769964,20.6659581565,-1.9709366587,20.6836672432,0.0,0.69,0.82,0.0,0.74,0.41,0.0,1.0,1.0,0.04,0.0,0.21,0.0,0.78,0.84,0.06,0.35,0.74,0.44,0.01,0.3,0.43,0.0
