Mes,Dia,Hora,Temperature,Wind_Speed,Wind_Direction,Humidity,Air_Density,Rain_Status,AreaServico_PMV,AreaServico_Temp,Circulacao_PMV,Circulacao_Temp,Casal_PMV,Casal_Temp,Banheiro_PMV,Banheiro_Temp,Jardim_PMV,Jardim_Temp,Solteiro_PMV,Solteiro_Temp,Sala_PMV,Sala_Temp,Mezanino_PMV,Mezanino_Temp,PortaServicoLeste,JanelaServicoSul,JanelaCasalNorte,PortaCasalOeste,JanelaCasalOeste,JanelaBanheiroLeste,PortaBanheiroOeste,JanelaJardimNorte,JanelaJardimLeste,JanelaSolteiroNorte,PortaSolteiroSul,JanelaSolteiroSul,PortaSalaNorte,JanelaSalaNorte,PortaSalaLeste,JanelaSalaSul,JanelaSalaOeste,PortaCozinhaLeste,JanelaCozinhaSul,JanelaMezaninoNorte,JanelaMezaninoSul,JanelaMezaninoOeste,JanelaSegundoSul
1.0,1.0,0.0,16.8,5.4,123.0,91.0,1.13594865305,0.0,-1.45762595626,16.9889769467,-1.49625277948,17.6725750033,-4.72410180706,19.5206573115,-1.79939505795,17.1779962715,-1.16564740347,18.6667737528,-4.65758299191,19.4992968684,-1.5875862984,17.7595493342,-1.20388617136,18.352289162,0.0,0.12,0.4,0.0,0.28,0.5,0.0,1.0,1.0,0.4,0.0,0.02,0.0,0.6,0.68,0.7,0.18,0.53,0.47,0.31,0.73,0.4,0.0
1.0,1.0,1.0,16.5,4.6,135.0,92.0,1.13693420486,0.0,-2.43951334055,17.0401712713,-2.303788156,20.3467348242,-4.92440288862,21.019950659,-2.5530477481,19.9622053607,-2.02180819738,19.0772136509,-4.8885693042,19.7611925424,-2.83390183049,18.2612933801,-2.18623224032,18.0590827998,0.0,0.26,0.51,0.0,0.06,0.63,0.0,1.0,1.0,0.2,0.0,0.69,0.0,0.91,0.9,0.58,0.28,0.38,0.08,0.69,0.09,0.3,0.0
1.0,1.0,2.0,16.6,4.6,143.0,92.0,1.13652950261,0.0,-2.48506142596,18.3176929246,-1.80187041562,18.969800976,-4.48423199295,21.1242953887,-2.04657770996,18.010669223,-1.98326798239,19.1688734878,-4.82333372944,21.2676810923,-2.77791609121,18.2198902839,-2.29701210285,18.1522274474,0.0,0.67,0.13,0.0,0.27,0.8,0.0,1.0,1.0,0.76,0.0,0.74,0.0,0.24,0.33,0.9,0.54,0.93,0.02,0.75,0.09,0.73,0.0
1.0,1.0,3.0,16.5,3.1,152.0,94.0,1.13720429895,0.0,-2.26222839507,17.4886488421,-2.08415620938,20.0486109888,-4.45611398324,20.1942988627,-2.43481165437,18.1116855531,-1.99690347118,19.3095148043,-4.38355979448,20.2701987603,-2.81904122031,18.7227510027,-2.31338772991,18.9286152947,0.0,0.25,0.13,0.0,0.52,0.3,0.0,1.0,1.0,0.4,0.0,0.26,0.0,0.45,0.58,0.22,0.2,0.75,0.89,0.42,0.53,0.16,0.0
1.0,1.0,4.0,16.3,4.8,144.0,94.0,1.13777748519,0.0,-2.44480789355,16.6609344797,-1.88903840889,19.5273444419,-4.73122220127,21.4359306484,-2.43158947925,17.4109994592,-1.99430270939,19.4288451888,-4.67910739972,19.4175045396,-2.72321031699,17.8897935723,-2.16819967219,18.2526770815,0.0,0.23,0.04,0.0,0.39,0.95,0.0,1.0,1.0,0.62,0.0,0.21,0.0,0.33,0.75,0.58,0.02,0.52,0.07,0.57,0.59,0.21,0.0
1.0,1.0,5.0,16.4,4.7,146.0,94.0,1.13761150444,0.0,-2.64606817094,17.2624522302,-2.00642928918,19.1351411079,-4.37780987345,22.3318088001,-2.59332925045,18.1906189864,-2.00153628927,18.9640009092,-4.95529382654,21.1756534993,-2.94557369224,17.9965784219,-2.33914960392,17.9911803485,0.0,0.56,0.36,0.0,0.71,0.19,0.0,1.0,1.0,0.89,0.0,0.66,0.0,0.94,0.74,0.15,0.89,0.67,0.75,0.74,0.98,0.36,0.0
1.0,1.0,6.0,17.2,6.8,153.0,93.0,1.13409595106,0.0,-2.5421542578,17.6609612161,-2.09563038053,19.7582584569,-4.1143398186,22.2893910454,-2.45380440813,17.8305439814,-2.08206676725,19.4253219649,-4.43728214004,20.3172660344,-2.94551976099,18.387506467,-2.39852081204,18.1727250144,0.0,0.26,0.02,0.0,0.07,0.46,0.0,1.0,1.0,0.22,0.0,0.73,0.0,0.91,0.94,0.06,0.47,0.73,0.17,0.76,0.32,0.62,0.0
1.0,1.0,7.0,18.2,7.7,140.0,84.0,1.13163049789,0.0,-2.43148892864,18.3373163126,-1.96514341649,20.1769139415,-4.10305064932,21.5238853221,-2.49494030448,18.8845724614,-1.92134393728,19.3657242128,-4.66542075802,20.7068895772,-2.8459991713,18.7559287132,-2.32053314298,18.6510666237,0.0,0.54,0.75,0.0,0.11,0.66,0.0,1.0,1.0,0.01,0.0,0.65,0.0,0.01,0.62,0.67,0.15,0.98,0.72,0.6,0.49,0.62,0.0
1.0,1.0,8.0,19.4,7.9,144.0,75.0,1.12825099097,0.0,-2.29562712727,19.5051682308,-1.88615631437,20.5623973807,-4.32809411225,22.2684199702,-2.28137850947,19.5441456565,-1.8688601704,20.3194664988,-4.56963625961,20.8271186218,-2.75494050164,19.9643017012,-2.18300036004,19.7713792654,0.0,0.87,0.68,0.0,0.12,0.61,0.0,1.0,1.0,0.66,0.0,0.4,0.0,0.41,0.82,0.22,0.84,0.82,0.84,0.66,0.42,0.84,0.0
1.0,1.0,9.0,21.6,8.7,133.0,67.0,1.11936580905,0.0,-2.04245242011,21.5422320375,-1.79602882579,21.4580603171,-4.12023765341,21.9274445945,-2.11184316936,21.3707136248,-1.58715515448,22.4287313053,-4.5543976013,22.1478092095,-2.44168817464,21.5516867241,-1.86290510046,21.4251064866,0.0,0.04,0.9,0.0,0.67,0.69,0.0,1.0,1.0,0.17,0.0,0.35,0.0,0.9,0.77,0.01,0.05,0.16,0.38,0.45,0.53,0.69,0.0
